trade_date,open,high,low,close,pct_chg,volume,amount_est,ts_code,name,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye,financing_net,financing_net_ma5,rzye_slope_5d,rzye_ma10,rzye_acceleration,leverage_ratio,leverage_ratio_z20,rzye_z20,close_ma5,close_ma20,net_buy_3d_pos,rzye_new_high_20d,buy_signal,price_new_high_20d,sell_signal,future_return_3d,future_return_5d
20180108,0.983,1.017,0.981,1.004,2.14,85640000.0,85982560.0,512880.SH,,411011.0,0.0,420823.0,0.0,9812.0,0.0,0.0,411011.0,411011.0,,,,,0.004780167047829235,,,,,0,0,0,0,0,-0.014940239043824688,-0.033864541832669404
20180109,1.003,1.009,0.993,0.996,-0.8,37270000.0,37120920.0,512880.SH,,2758000.0,0.0,2950311.0,0.0,603322.0,0.0,0.0,2758000.0,2346989.0,,,,,0.07429772753477015,,,,,0,0,0,0,0,-0.010040160642570295,-0.005020080321285092
20180110,0.997,1.005,0.985,0.993,-0.3,64370000.00000001,63919410.00000001,512880.SH,,6920020.0,0.0,4266249.0,0.0,104229.0,0.0,0.0,6920020.0,4162020.0,,,,,0.10826163758395141,,,,,1,0,0,0,0,-0.023162134944612278,0.03423967774420933
20180111,0.991,0.992,0.983,0.989,-0.4,40620000.0,40173180.0,512880.SH,,1235624.0,0.0,682978.0,0.0,6367374.0,0.0,0.0,1235624.0,-5684396.0,,,,,0.030757435682213854,,,,,0,0,0,0,0,0.002022244691607611,0.044489383215368994
20180112,0.989,0.998,0.985,0.986,-0.3,41740000.0,41155640.0,512880.SH,,4907957.0,0.0,4119672.0,0.0,447339.0,0.0,0.0,4907957.0,3672333.0,981591.4,,,,0.11925357010606566,,,0.9936,,0,0,0,0,0,0.041582150101419746,0.07606490872210947
20180115,0.987,0.988,0.969,0.97,-1.62,66569999.99999999,64572899.99999999,512880.SH,,2245981.0,0.0,7390678.0,0.0,10052654.0,0.0,0.0,2245981.0,-2661976.0,366994.0,1834970.0,,,0.034782098991992,,,0.9868,,0,0,0,0,0,0.06494845360824741,0.08969072164948444
20180116,0.969,0.995,0.967,0.991,2.16,54060000.0,53573460.0,512880.SH,,2680152.0,0.0,2661992.0,0.0,2227821.0,0.0,0.0,2680152.0,434171.0,-15569.6,-77848.0,,,0.05002760695314434,,,0.9858,,0,0,0,0,0,0.070635721493441,0.070635721493441
20180117,0.998,1.052,0.997,1.027,3.63,200680000.0,206098359.99999997,512880.SH,,5090099.0,0.0,3168758.0,0.0,758811.0,0.0,0.0,5090099.0,2409947.0,-365984.2,-1829921.0,,,0.024697426025127034,,,0.9926,,0,0,0,0,0,0.02921129503407993,0.07010710808179166
20180118,1.028,1.043,1.022,1.033,0.58,52500000.0,54232499.99999999,512880.SH,,4865530.0,0.0,1373696.0,0.0,1598265.0,0.0,0.0,4865530.0,-224569.0,725981.2,3629906.0,,,0.08971612962706865,,,1.0013999999999998,,0,0,0,0,0,0.027105517909002952,0.04259438528557613
20180119,1.03,1.077,1.03,1.061,2.71,93980000.0,99712780.0,512880.SH,,6707566.0,0.0,3456989.0,0.0,1614953.0,0.0,0.0,6707566.0,1842036.0,359921.8,1799609.0,3782194.0,2925372.0,0.06726886964740127,,,1.0163999999999997,,0,0,0,0,0,0.03581526861451456,0.01602262016965139
