ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
600030.SH,20240829,20240630,中国中信金融控股有限公司,2299650108.0,15.5166,20.4501,0.0,一般企业
600030.SH,20240829,20240630,香港中央结算有限公司,469124279.0,3.1654,4.1718,-33308765.0,一般企业
600030.SH,20240829,20240630,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,219910723.0,1.4838,1.9556,13740800.0,开放式投资基金
600030.SH,20240829,20240630,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.8243,0.0,资产管理公司
600030.SH,20240829,20240630,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.5721,0.0,基金专户理财
600030.SH,20240829,20240630,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.4775,0.0,基金专户理财
600030.SH,20240829,20240630,中欧基金-农业银行-中欧中证金融资产管理计划,161205735.0,1.0877,1.4336,,基金专户理财
600030.SH,20240829,20240630,广州越秀资本控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20240829,20240630,广州越秀资本控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20240427,20240331,广州越秀资本控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20240427,20240331,广州越秀资本控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20240427,20240331,香港中央结算(代理人)有限公司,2619007716.0,17.6715,,6440.0,一般企业
600030.SH,20240427,20240331,中国中信金融控股有限公司,2299650108.0,15.5166,20.4501,0.0,一般企业
600030.SH,20240427,20240331,香港中央结算有限公司,502433044.0,3.3901,4.468,61606688.0,一般企业
600030.SH,20240427,20240331,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,206169923.0,1.3911,1.8334,-4155420.0,开放式投资基金
600030.SH,20240427,20240331,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.8243,0.0,资产管理公司
600030.SH,20240427,20240331,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.5721,0.0,基金专户理财
600030.SH,20240427,20240331,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.4775,0.0,基金专户理财
600030.SH,20240427,20240331,中国工商银行-上证50交易型开放式指数证券投资基金,162875533.0,1.099,1.4484,,开放式投资基金
600030.SH,20240327,20231231,广州越秀资本控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20240327,20231231,广州越秀资本控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20240327,20231231,香港中央结算(代理人)有限公司,2619001276.0,17.6714,,-1075579.0,一般企业
600030.SH,20240327,20231231,中国中信金融控股有限公司,2299650108.0,15.5166,20.2315,0.0,一般企业
600030.SH,20240327,20231231,香港中央结算有限公司,440826356.0,2.9744,3.8782,-37983576.0,一般企业
