ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,abs_pct_chg,vol,amount
000001.SH,20090817,2994.866,3020.264,2867.394,2870.63,3046.972,-176.342,-5.7875,5.7875,125058959.0,137505293.033
000001.SH,20150703,3793.7121,3927.1275,3629.5556,3686.9153,3912.7668,-225.8515,-5.7722,5.7722,548163111.0,648054100.385
000001.SH,20150709,3432.4536,3748.4785,3373.5396,3709.3304,3507.1923,202.1381,5.7635,5.7635,656914612.0,673310983.764
000001.SH,20200706,3187.8393,3337.2723,3187.8393,3332.8807,3152.8126,180.0681,5.7113,5.7113,643878906.0,724153675.7
000001.SH,20080414,3419.047,3427.884,3285.298,3296.672,3492.893,-196.221,-5.6177,5.6177,50311706.0,66952393.975
000001.SH,20190225,2838.3896,2961.7951,2838.3896,2961.2834,2804.2262,157.0572,5.6007,5.6007,528658590.0,465991432.6
000001.SH,20190506,2984.7273,2986.5399,2876.4688,2906.464,3078.3389,-171.8749,-5.5834,5.5834,326972269.0,314336519.4
000001.SH,20150630,4006.7537,4279.969,3847.8799,4277.2219,4053.0304,224.1915,5.5315,5.5315,709176633.0,941524659.857
000001.SH,20080409,3585.847,3606.887,3413.072,3413.907,3612.539,-198.632,-5.4984,5.4984,59852049.0,81203386.749
000001.SH,20151127,3616.5441,3621.8965,3412.4272,3436.303,3635.5521,-199.2491,-5.4806,5.4806,354287525.0,464311247.676
000001.SH,20141209,2992.49,3091.324,2834.592,2856.269,3020.258,-163.989,-5.4296,5.4296,771998379.0,793361276.853
000001.SH,20080327,3541.276,3541.276,3407.896,3411.493,3606.857,-195.364,-5.4165,5.4165,55069866.0,76938808.872
000001.SH,20050202,1189.502,1253.159,1189.502,1252.5,1188.931,63.569,5.3467,5.3467,19054062.0,10397266.982
000001.SH,20150827,2978.0296,3085.4222,2906.4901,3083.5912,2927.288,156.3032,5.3395,5.3395,400308398.0,404289306.103
000001.SH,20080818,2451.778,2455.504,2318.926,2319.868,2450.61,-130.742,-5.3351,5.3351,53656796.0,35866644.284
000001.SH,20060607,1678.238,1678.238,1588.971,1589.545,1679.126,-89.581,-5.335,5.335,65085316.0,37192981.975
000001.SH,20070820,4773.832,4906.003,4758.397,4904.855,4656.574,248.281,5.3318,5.3318,99152937.0,145314066.768
000001.SH,20160111,3131.853,3166.215,3016.697,3016.704,3186.412,-169.708,-5.326,5.326,271643691.0,286379628.143
000001.SH,20130624,2068.862,2068.862,1958.401,1963.235,2073.095,-109.86,-5.2993,5.2993,109198215.0,87969841.712
000001.SH,20080627,2809.309,2822.264,2723.158,2748.432,2901.85,-153.418,-5.2869,5.2869,60529919.0,61718685.224
000001.SH,20010730,2056.76,2056.77,1955.97,1956.8,2065.73,-108.93,-5.2732,5.2732,7592733.48,9727669.368
000001.SH,20070705,3769.639,3778.399,3614.531,3615.872,3816.165,-200.293,-5.2485,5.2485,63405936.0,73755081.221
000001.SH,20080618,2772.367,2945.422,2729.711,2941.115,2794.751,146.364,5.2371,5.2371,66349803.0,69029288.629
000001.SH,20081006,2267.394,2267.394,2172.569,2173.738,2293.784,-120.046,-5.2335,5.2335,60938137.0,47382162.302
000001.SH,20150701,4214.1499,4317.0527,4043.3667,4053.6997,4277.2219,-223.5222,-5.2259,5.2259,598769427.0,838070926.187
000001.SH,20181011,2643.074,2661.2859,2560.3164,2583.4575,2725.8367,-142.3792,-5.2233,5.2233,197150702.0,170057762.5
000001.SH,20080811,2595.895,2601.502,2453.707,2470.074,2605.719,-135.645,-5.2057,5.2057,47161450.0,41510408.325
000001.SH,20101112,3121.922,3150.146,2975.163,2985.435,3147.744,-162.309,-5.1564,5.1564,233084958.0,298405913.627
000001.SH,20080121,5188.795,5200.926,4891.285,4914.435,5180.514,-266.079,-5.1362,5.1362,75643958.0,130341708.797
000001.SH,20220425,3034.2667,3043.8156,2928.5096,2928.5118,3086.9193,-158.4075,-5.1316,5.1316,433606108.0,427077210.4
000001.SH,20100517,2663.882,2663.882,2557.239,2559.931,2696.629,-136.698,-5.0692,5.0692,82648326.0,88207607.273
000001.SH,20090729,3419.991,3454.019,3174.214,3266.432,3438.371,-171.939,-5.0006,5.0006,275801197.0,296925811.659
000001.SH,20220315,3192.3637,3196.9161,3063.9652,3063.9652,3223.5328,-159.5676,-4.9501,4.9501,465037164.0,508158410.1
000001.SH,20080328,3378.628,3590.753,3357.229,3580.146,3411.493,168.653,4.9437,4.9437,63291684.0,90291919.963
000001.SH,20071114,5246.574,5414.609,5165.063,5412.694,5158.118,254.576,4.9354,4.9354,50992880.0,88064090.07
000001.SH,20070131,2926.075,2929.646,2766.747,2786.335,2930.562,-144.227,-4.9215,4.9215,114265970.0,86136968.599
000001.SH,20150810,3786.0326,3943.6236,3775.8535,3928.4154,3744.2045,184.2109,4.9199,4.9199,497304319.0,652622008.945
000001.SH,20150916,2998.0358,3182.9343,2983.5352,3152.2632,3005.1722,147.091,4.8946,4.8946,277524524.0,281992256.964
000001.SH,20071108,5559.151,5559.151,5328.201,5330.023,5601.783,-271.76,-4.8513,4.8513,48924662.0,83761375.849
000001.SH,20060713,1736.207,1737.595,1654.486,1655.773,1740.0,-84.227,-4.8406,4.8406,67471589.0,39610592.999
000001.SH,20150828,3125.2635,3235.8385,3102.9451,3232.3495,3083.5912,148.7583,4.8242,4.8242,443136928.0,474631023.331
000001.SH,20080430,3545.573,3705.093,3543.019,3693.106,3523.405,169.701,4.8164,4.8164,107617708.0,156313294.426
000001.SH,20071025,5794.223,5819.884,5546.041,5562.394,5843.109,-280.715,-4.8042,4.8042,71714448.0,119753910.611
000001.SH,20100419,3096.785,3096.785,2977.774,2980.297,3130.302,-150.005,-4.792,4.792,129360505.0,156394431.347
000001.SH,20090903,2722.305,2854.161,2715.619,2845.024,2714.974,130.05,4.7901,4.7901,129890251.0,138875482.4101
000001.SH,20091009,2840.131,2912.55,2834.618,2911.715,2779.426,132.289,4.7596,4.7596,85546555.0,93167970.429
000001.SH,20150121,3189.085,3337.004,3178.343,3323.611,3173.052,150.559,4.7449,4.7449,410956024.0,473758667.167
000001.SH,20070115,2660.07,2795.331,2658.879,2794.701,2668.11,126.591,4.7446,4.7446,91761561.0,66939480.996
000001.SH,20090218,2271.26,2295.741,2206.062,2209.862,2319.441,-109.579,-4.7244,4.7244,162461879.0,135271731.039
000001.SH,20150601,4633.098,4829.502,4615.231,4828.738,4611.744,216.994,4.7052,4.7052,593389035.0,934455504.512
000001.SH,20090812,3255.985,3255.986,3104.565,3112.719,3264.726,-152.007,-4.656,4.656,134447463.0,157502777.85
000001.SH,20011107,1669.427,1669.46,1591.768,1594.05,1671.278,-77.228,-4.6209,4.6209,5945893.0,6247016.818
000001.SH,20241008,3674.4048,3674.4048,3372.1868,3489.7751,3336.4974,153.2777,4.594,4.594,1313460195.0,1510513250.8
000001.SH,20080707,2673.55,2801.534,2673.55,2792.397,2669.892,122.505,4.5884,4.5884,77405848.0,82037582.1278
000001.SH,20070706,3599.818,3785.346,3563.544,3781.348,3615.872,165.476,4.5764,4.5764,80737241.0,92306322.869
000001.SH,20090224,2273.755,2295.59,2193.268,2200.654,2305.777,-105.123,-4.5591,4.5591,183853106.0,158380699.143
000001.SH,20081223,1990.049,1990.049,1895.178,1897.225,1987.755,-90.53,-4.5544,4.5544,98985955.0,66982772.2985
000001.SH,20150710,3707.4577,3959.2196,3677.4345,3877.8034,3709.3304,168.473,4.5419,4.5419,586364255.0,680434151.219
000001.SH,20090820,2798.37,2914.64,2798.37,2911.582,2785.584,125.998,4.5232,4.5232,110039086.0,122097426.942
000001.SH,20070419,3610.024,3617.438,3358.93,3449.016,3612.396,-163.38,-4.5228,4.5228,172725541.0,187759225.246
000001.SH,20070911,5362.941,5395.038,5093.923,5113.968,5355.287,-241.319,-4.5062,4.5062,110055262.0,169972939.289
000001.SH,20200716,3356.359,3373.5317,3209.7272,3210.0986,3361.3044,-151.2058,-4.4984,4.4984,490613123.0,679468340.6
000001.SH,20000228,1639.799,1704.884,1639.696,1704.855,1631.576,73.279,4.4913,4.4913,26127943.0,24422228.681
000001.SH,20080324,3830.346,3840.479,3624.936,3626.188,3796.576,-170.388,-4.4879,4.4879,58959678.0,88537601.514
000001.SH,20080520,3601.549,3632.006,3432.382,3443.162,3604.761,-161.599,-4.4829,4.4829,66377053.0,88932320.454
000001.SH,20080916,2049.813,2049.813,1974.388,1986.636,2079.673,-93.037,-4.4736,4.4736,46223445.0,33820604.474
000001.SH,20080808,2724.43,2725.931,2595.917,2605.719,2727.577,-121.858,-4.4676,4.4676,48507437.0,46304907.775
000001.SH,20080407,3418.516,3613.48,3386.512,3599.618,3446.244,153.374,4.4505,4.4505,60994537.0,84589696.3503
