ts_code,trade_date,price,vol,amount,buyer,seller
600030.SH,20191217,20.99,90.0,1889.1,中信建投证券股份有限公司北京酒仙桥路证券营业部,中信建投证券股份有限公司北京市东直门南大街证券营业部
600030.SH,20191204,23.5,15.24,358.14,兴业证券股份有限公司福州湖东路证券营业部,平安证券股份有限公司福州长乐北路证券营业部
600030.SH,20191112,22.03,12.84,282.87,广发证券股份有限公司上海东方路证券营业部,国泰君安证券股份有限公司总部
600030.SH,20191111,22.62,33.5,757.77,东方证券股份有限公司上海浦东新区周东路证券营业部,东方证券股份有限公司上海浦东新区周东路证券营业部
600030.SH,20191101,21.7,33.5,726.95,东方证券股份有限公司上海浦东新区周东路证券营业部,东方证券股份有限公司上海浦东新区周东路证券营业部
600030.SH,20190809,20.91,54.8,1145.87,中信证券股份有限公司总部(非营业场所),申万宏源证券有限公司国际部
600030.SH,20190808,20.91,30.0,627.3,招商证券股份有限公司哈尔滨长江路证券营业部,招商证券股份有限公司深圳益田路免税商务大厦证券营业部
600030.SH,20190710,23.15,86.0,1990.9,中信建投证券股份有限公司北京北辰西路证券营业部,中原证券股份有限公司北京广安门外大街证券营业部
600030.SH,20190705,23.6,43.63,1029.67,中信证券股份有限公司总部(非营业场所),申万宏源证券有限公司国际部
600030.SH,20190705,23.51,80.32,1888.32,中信证券股份有限公司总部(非营业场所),申万宏源证券有限公司国际部
600030.SH,20190703,23.4,86.5,2024.1,中原证券股份有限公司北京广安门外大街证券营业部,海通证券股份有限公司北京光华路营业部
600030.SH,20190621,22.48,300.0,6744.04,中信证券股份有限公司杭州延安路证券营业部,中信证券股份有限公司杭州朝晖路证券营业部
600030.SH,20190620,22.12,150.0,3318.0,中信证券股份有限公司杭州延安路证券营业部,中信证券股份有限公司杭州朝晖路证券营业部
600030.SH,20190619,20.68,450.0,9306.0,中信证券股份有限公司杭州延安路证券营业部,中信证券股份有限公司杭州朝晖路证券营业部
