date,time,code,open,high,low,close,volume,amount,adjustflag
2026-02-27,20260227093500000,sh.600707,6.8000000000,6.9900000000,6.7700000000,6.9000000000,5144700,35514233.0000,2
2026-02-27,20260227094000000,sh.600707,6.9000000000,6.9700000000,6.8800000000,6.9600000000,2736190,18951871.0000,2
2026-02-27,20260227094500000,sh.600707,6.9500000000,6.9500000000,6.8800000000,6.9000000000,2126300,14733842.0000,2
2026-02-27,20260227095000000,sh.600707,6.8900000000,6.9300000000,6.8600000000,6.9200000000,1984100,13676182.0000,2
2026-02-27,20260227095500000,sh.600707,6.9200000000,7.0000000000,6.9000000000,6.9600000000,3527500,24600530.0000,2
2026-02-27,20260227100000000,sh.600707,6.9600000000,6.9600000000,6.9300000000,6.9500000000,1131537,7863952.0000,2
2026-02-27,20260227100500000,sh.600707,6.9400000000,6.9600000000,6.9400000000,6.9400000000,410263,2850719.0000,2
2026-02-27,20260227101000000,sh.600707,6.9400000000,6.9500000000,6.9200000000,6.9200000000,481400,3339603.0000,2
2026-02-27,20260227101500000,sh.600707,6.9300000000,7.0000000000,6.9100000000,6.9900000000,1969100,13702143.0000,2
2026-02-27,20260227102000000,sh.600707,6.9700000000,7.0300000000,6.9700000000,6.9900000000,3667064,25677197.0000,2
2026-02-27,20260227102500000,sh.600707,6.9800000000,6.9900000000,6.9600000000,6.9700000000,592500,4133506.0000,2
2026-02-27,20260227103000000,sh.600707,6.9700000000,6.9900000000,6.9600000000,6.9700000000,638000,4451816.0000,2
2026-02-27,20260227103500000,sh.600707,6.9700000000,6.9800000000,6.9500000000,6.9500000000,486500,3388717.0000,2
2026-02-27,20260227104000000,sh.600707,6.9500000000,6.9700000000,6.9400000000,6.9500000000,647200,4498982.0000,2
2026-02-27,20260227104500000,sh.600707,6.9600000000,6.9600000000,6.9400000000,6.9600000000,784900,5455138.0000,2
2026-02-27,20260227105000000,sh.600707,6.9500000000,6.9800000000,6.9500000000,6.9700000000,642100,4473162.0000,2
2026-02-27,20260227105500000,sh.600707,6.9600000000,6.9800000000,6.9500000000,6.9500000000,622800,4332900.0000,2
2026-02-27,20260227110000000,sh.600707,6.9600000000,6.9600000000,6.9300000000,6.9400000000,655300,4550442.0000,2
2026-02-27,20260227110500000,sh.600707,6.9500000000,6.9800000000,6.9400000000,6.9800000000,766700,5342027.0000,2
2026-02-27,20260227111000000,sh.600707,6.9800000000,6.9800000000,6.9600000000,6.9600000000,228800,1595652.0000,2
2026-02-27,20260227111500000,sh.600707,6.9600000000,6.9700000000,6.9300000000,6.9400000000,1430800,9932212.0000,2
2026-02-27,20260227112000000,sh.600707,6.9400000000,6.9500000000,6.9400000000,6.9400000000,186100,1292597.0000,2
2026-02-27,20260227112500000,sh.600707,6.9400000000,6.9500000000,6.9300000000,6.9400000000,175100,1214863.0000,2
2026-02-27,20260227113000000,sh.600707,6.9400000000,6.9400000000,6.9100000000,6.9300000000,404300,2799262.0000,2
2026-02-27,20260227130500000,sh.600707,6.9300000000,6.9300000000,6.9200000000,6.9200000000,382000,2644282.0000,2
2026-02-27,20260227131000000,sh.600707,6.9200000000,6.9400000000,6.9100000000,6.9100000000,252500,1748626.0000,2
2026-02-27,20260227131500000,sh.600707,6.9100000000,6.9300000000,6.9100000000,6.9300000000,383300,2651555.0000,2
2026-02-27,20260227132000000,sh.600707,6.9300000000,6.9400000000,6.9200000000,6.9300000000,310400,2149262.0000,2
2026-02-27,20260227132500000,sh.600707,6.9300000000,6.9400000000,6.9300000000,6.9300000000,105600,732045.0000,2
2026-02-27,20260227133000000,sh.600707,6.9400000000,6.9500000000,6.9300000000,6.9500000000,186900,1296818.0000,2
2026-02-27,20260227133500000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9500000000,381200,2649410.0000,2
2026-02-27,20260227134000000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9500000000,430800,2994209.0000,2
2026-02-27,20260227134500000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9600000000,228100,1585412.0000,2
2026-02-27,20260227135000000,sh.600707,6.9600000000,6.9600000000,6.9400000000,6.9500000000,258500,1796428.0000,2
2026-02-27,20260227135500000,sh.600707,6.9400000000,6.9500000000,6.9400000000,6.9500000000,219500,1524285.0000,2
2026-02-27,20260227140000000,sh.600707,6.9400000000,6.9500000000,6.9400000000,6.9400000000,235300,1634385.0000,2
2026-02-27,20260227140500000,sh.600707,6.9400000000,6.9600000000,6.9400000000,6.9600000000,1438800,9990723.0000,2
2026-02-27,20260227141000000,sh.600707,6.9500000000,6.9600000000,6.9500000000,6.9500000000,84500,587652.0000,2
2026-02-27,20260227141500000,sh.600707,6.9500000000,6.9600000000,6.9500000000,6.9500000000,581700,4047344.0000,2
2026-02-27,20260227142000000,sh.600707,6.9500000000,6.9600000000,6.9500000000,6.9500000000,149300,1038227.0000,2
2026-02-27,20260227142500000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9600000000,628800,4369848.0000,2
2026-02-27,20260227143000000,sh.600707,6.9600000000,6.9600000000,6.9400000000,6.9500000000,1005700,6993183.0000,2
2026-02-27,20260227143500000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9400000000,576300,4004353.0000,2
2026-02-27,20260227144000000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9600000000,592900,4119360.0000,2
2026-02-27,20260227144500000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9500000000,823700,5725671.0000,2
2026-02-27,20260227145000000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9400000000,916600,6369273.0000,2
2026-02-27,20260227145500000,sh.600707,6.9500000000,6.9600000000,6.9400000000,6.9500000000,1485400,10320176.0000,2
2026-02-27,20260227150000000,sh.600707,6.9500000000,6.9600000000,6.9500000000,6.9600000000,886764,6168722.0000,2
