date,time,code,open,high,low,close,volume,amount,adjustflag
2026-02-27,20260227093500000,sh.688777,78.8300000000,79.5000000000,78.0900000000,79.5000000000,1422742,111797484.0000,2
2026-02-27,20260227094000000,sh.688777,79.5900000000,80.1500000000,79.5600000000,79.8800000000,1113748,88976871.0000,2
2026-02-27,20260227094500000,sh.688777,79.9600000000,80.7000000000,79.8800000000,80.1800000000,1620207,130443811.0000,2
2026-02-27,20260227095000000,sh.688777,80.2600000000,80.5900000000,79.9200000000,79.9600000000,766413,61562616.0000,2
2026-02-27,20260227095500000,sh.688777,79.9200000000,80.5000000000,79.8000000000,79.9900000000,418571,33527187.0000,2
2026-02-27,20260227100000000,sh.688777,79.9600000000,79.9900000000,79.7000000000,79.8900000000,434012,34658912.0000,2
2026-02-27,20260227100500000,sh.688777,79.8900000000,80.5500000000,79.8900000000,80.3800000000,487068,39144619.0000,2
2026-02-27,20260227101000000,sh.688777,80.3800000000,81.0000000000,80.3600000000,80.8700000000,1177101,95123179.0000,2
2026-02-27,20260227101500000,sh.688777,80.8700000000,80.9600000000,80.5200000000,80.5500000000,487384,39356220.0000,2
2026-02-27,20260227102000000,sh.688777,80.5500000000,80.6000000000,80.1100000000,80.2300000000,287059,23066133.0000,2
2026-02-27,20260227102500000,sh.688777,80.2300000000,80.3100000000,79.8100000000,79.8100000000,347252,27803255.0000,2
2026-02-27,20260227103000000,sh.688777,79.8200000000,80.1000000000,79.8200000000,79.8900000000,268991,21502419.0000,2
2026-02-27,20260227103500000,sh.688777,79.8500000000,79.9100000000,79.7600000000,79.8800000000,270664,21606954.0000,2
2026-02-27,20260227104000000,sh.688777,79.8800000000,80.3100000000,79.8800000000,80.0200000000,181580,14553362.0000,2
2026-02-27,20260227104500000,sh.688777,80.0200000000,80.2000000000,79.9900000000,80.1400000000,218287,17484013.0000,2
2026-02-27,20260227105000000,sh.688777,80.1900000000,80.2900000000,79.9800000000,80.0000000000,223315,17892193.0000,2
2026-02-27,20260227105500000,sh.688777,80.0400000000,80.1800000000,79.9100000000,79.9400000000,213631,17094963.0000,2
2026-02-27,20260227110000000,sh.688777,79.9400000000,80.0600000000,79.8000000000,79.8000000000,247160,19744853.0000,2
2026-02-27,20260227110500000,sh.688777,79.8000000000,80.0100000000,79.7800000000,80.0100000000,249187,19900146.0000,2
2026-02-27,20260227111000000,sh.688777,80.0000000000,80.0400000000,79.7100000000,79.7600000000,241531,19280767.0000,2
2026-02-27,20260227111500000,sh.688777,79.7700000000,79.9900000000,79.7100000000,79.7400000000,173526,13849810.0000,2
2026-02-27,20260227112000000,sh.688777,79.7600000000,79.9100000000,79.6000000000,79.6300000000,186167,14850782.0000,2
2026-02-27,20260227112500000,sh.688777,79.6300000000,79.6900000000,79.4600000000,79.4900000000,164266,13070382.0000,2
2026-02-27,20260227113000000,sh.688777,79.4800000000,79.4800000000,79.2000000000,79.2500000000,208167,16508392.0000,2
2026-02-27,20260227130500000,sh.688777,79.2000000000,79.4700000000,78.7200000000,78.7500000000,485871,38421779.0000,2
2026-02-27,20260227131000000,sh.688777,78.8200000000,78.8200000000,78.6100000000,78.6300000000,267376,21042971.0000,2
2026-02-27,20260227131500000,sh.688777,78.6200000000,78.9300000000,78.5700000000,78.8900000000,328407,25829590.0000,2
2026-02-27,20260227132000000,sh.688777,78.8900000000,79.1100000000,78.8200000000,78.9700000000,213943,16885899.0000,2
2026-02-27,20260227132500000,sh.688777,78.9400000000,79.1300000000,78.8300000000,78.9000000000,167548,13227822.0000,2
2026-02-27,20260227133000000,sh.688777,78.9000000000,79.3600000000,78.9000000000,79.3600000000,301519,23865923.0000,2
2026-02-27,20260227133500000,sh.688777,79.3400000000,79.6600000000,79.3300000000,79.5900000000,420536,33453994.0000,2
2026-02-27,20260227134000000,sh.688777,79.6000000000,79.8800000000,79.6000000000,79.8500000000,446804,35642156.0000,2
2026-02-27,20260227134500000,sh.688777,79.8500000000,80.0000000000,79.5800000000,79.9600000000,341609,27266044.0000,2
2026-02-27,20260227135000000,sh.688777,79.9800000000,80.0000000000,79.6200000000,79.8100000000,266214,21238514.0000,2
2026-02-27,20260227135500000,sh.688777,79.7800000000,79.8200000000,79.6300000000,79.7700000000,156108,12441662.0000,2
2026-02-27,20260227140000000,sh.688777,79.7700000000,80.0300000000,79.7300000000,79.8600000000,295019,23562005.0000,2
2026-02-27,20260227140500000,sh.688777,79.9000000000,79.9000000000,79.6000000000,79.8200000000,267538,21338896.0000,2
2026-02-27,20260227141000000,sh.688777,79.8100000000,80.3000000000,79.8100000000,80.2400000000,615495,49301821.0000,2
2026-02-27,20260227141500000,sh.688777,80.2000000000,80.4600000000,80.1800000000,80.3600000000,389726,31297855.0000,2
2026-02-27,20260227142000000,sh.688777,80.3500000000,80.9000000000,80.3300000000,80.5200000000,684092,55164341.0000,2
2026-02-27,20260227142500000,sh.688777,80.5400000000,80.5800000000,80.3000000000,80.3900000000,298251,23990251.0000,2
2026-02-27,20260227143000000,sh.688777,80.3900000000,80.5400000000,80.3100000000,80.4300000000,320054,25729381.0000,2
2026-02-27,20260227143500000,sh.688777,80.3500000000,80.3900000000,80.1400000000,80.2200000000,251859,20223494.0000,2
2026-02-27,20260227144000000,sh.688777,80.2200000000,80.3000000000,80.1100000000,80.2800000000,209341,16788521.0000,2
2026-02-27,20260227144500000,sh.688777,80.2400000000,80.3300000000,80.1900000000,80.2700000000,377729,30317077.0000,2
2026-02-27,20260227145000000,sh.688777,80.2700000000,80.3800000000,80.2500000000,80.3000000000,390171,31334344.0000,2
2026-02-27,20260227145500000,sh.688777,80.2800000000,80.3000000000,80.1500000000,80.2500000000,496413,39830460.0000,2
2026-02-27,20260227150000000,sh.688777,80.2300000000,80.2500000000,79.9900000000,80.2000000000,912407,73157781.0000,2
