date,time,code,open,high,low,close,volume,amount,adjustflag
2026-02-27,20260227093500000,sz.000723,5.0100000000,5.0600000000,5.0000000000,5.0500000000,8646720,43531738.5600,2
2026-02-27,20260227094000000,sz.000723,5.0500000000,5.0500000000,5.0200000000,5.0400000000,3450200,17369262.7600,2
2026-02-27,20260227094500000,sz.000723,5.0400000000,5.0700000000,5.0400000000,5.0600000000,4041000,20433168.0000,2
2026-02-27,20260227095000000,sz.000723,5.0600000000,5.0700000000,5.0500000000,5.0600000000,3592100,18195460.0000,2
2026-02-27,20260227095500000,sz.000723,5.0600000000,5.0800000000,5.0500000000,5.0800000000,2561900,12977378.0000,2
2026-02-27,20260227100000000,sz.000723,5.0700000000,5.1000000000,5.0700000000,5.0900000000,4156000,21156383.0000,2
2026-02-27,20260227100500000,sz.000723,5.1000000000,5.1100000000,5.0900000000,5.0900000000,4982400,25411116.0000,2
2026-02-27,20260227101000000,sz.000723,5.0900000000,5.0900000000,5.0700000000,5.0800000000,3627400,18445089.0000,2
2026-02-27,20260227101500000,sz.000723,5.0800000000,5.0900000000,5.0700000000,5.0800000000,1312300,6663934.0000,2
2026-02-27,20260227102000000,sz.000723,5.0900000000,5.1800000000,5.0900000000,5.1800000000,12347282,63317977.3800,2
2026-02-27,20260227102500000,sz.000723,5.1800000000,5.2000000000,5.1700000000,5.1900000000,23205000,120333187.7400,2
2026-02-27,20260227103000000,sz.000723,5.1900000000,5.2200000000,5.1700000000,5.1800000000,15420300,80187969.2800,2
2026-02-27,20260227103500000,sz.000723,5.1800000000,5.1900000000,5.1700000000,5.1800000000,6102400,31620716.0000,2
2026-02-27,20260227104000000,sz.000723,5.1700000000,5.1900000000,5.1600000000,5.1800000000,7519800,38925810.0000,2
2026-02-27,20260227104500000,sz.000723,5.1800000000,5.1800000000,5.1600000000,5.1800000000,3967300,20527805.0000,2
2026-02-27,20260227105000000,sz.000723,5.1700000000,5.1800000000,5.1600000000,5.1700000000,3634700,18797062.0000,2
2026-02-27,20260227105500000,sz.000723,5.1700000000,5.1800000000,5.1500000000,5.1700000000,4625200,23867047.0000,2
2026-02-27,20260227110000000,sz.000723,5.1600000000,5.1800000000,5.1600000000,5.1600000000,2406600,12440502.0000,2
2026-02-27,20260227110500000,sz.000723,5.1600000000,5.1700000000,5.1600000000,5.1600000000,2508160,12948791.2000,2
2026-02-27,20260227111000000,sz.000723,5.1600000000,5.1600000000,5.1500000000,5.1500000000,1431700,7384544.0000,2
2026-02-27,20260227111500000,sz.000723,5.1500000000,5.1800000000,5.1500000000,5.1700000000,1962000,10131926.0000,2
2026-02-27,20260227112000000,sz.000723,5.1700000000,5.1800000000,5.1600000000,5.1700000000,1680700,8696639.0000,2
2026-02-27,20260227112500000,sz.000723,5.1700000000,5.1800000000,5.1600000000,5.1800000000,1687500,8731500.0000,2
2026-02-27,20260227113000000,sz.000723,5.1800000000,5.1800000000,5.1700000000,5.1700000000,1194480,6181689.6000,2
2026-02-27,20260227130500000,sz.000723,5.1700000000,5.2100000000,5.1700000000,5.2000000000,8112400,42107549.9900,2
2026-02-27,20260227131000000,sz.000723,5.2000000000,5.2100000000,5.1900000000,5.2000000000,3502700,18222445.0000,2
2026-02-27,20260227131500000,sz.000723,5.2000000000,5.2200000000,5.2000000000,5.2000000000,3647900,19005545.0000,2
2026-02-27,20260227132000000,sz.000723,5.2000000000,5.2200000000,5.2000000000,5.2100000000,2413500,12586865.0000,2
2026-02-27,20260227132500000,sz.000723,5.2100000000,5.2300000000,5.2100000000,5.2200000000,4463800,23319921.0000,2
2026-02-27,20260227133000000,sz.000723,5.2200000000,5.2300000000,5.2200000000,5.2200000000,1933900,10100610.0000,2
2026-02-27,20260227133500000,sz.000723,5.2200000000,5.2700000000,5.2200000000,5.2600000000,12024974,63083183.0200,2
2026-02-27,20260227134000000,sz.000723,5.2500000000,5.2600000000,5.2300000000,5.2400000000,5116300,26864773.0000,2
2026-02-27,20260227134500000,sz.000723,5.2400000000,5.2400000000,5.2200000000,5.2300000000,2984514,15614408.3600,2
2026-02-27,20260227135000000,sz.000723,5.2300000000,5.2400000000,5.2200000000,5.2300000000,1671633,8739306.5900,2
2026-02-27,20260227135500000,sz.000723,5.2400000000,5.2400000000,5.2300000000,5.2300000000,1359100,7118137.0000,2
2026-02-27,20260227140000000,sz.000723,5.2300000000,5.2400000000,5.2200000000,5.2300000000,1607467,8403965.4100,2
2026-02-27,20260227140500000,sz.000723,5.2300000000,5.2400000000,5.2200000000,5.2200000000,1543000,8069680.0000,2
2026-02-27,20260227141000000,sz.000723,5.2300000000,5.2400000000,5.2300000000,5.2400000000,1339000,7007775.0000,2
2026-02-27,20260227141500000,sz.000723,5.2300000000,5.2500000000,5.2300000000,5.2500000000,3271600,17145306.0000,2
2026-02-27,20260227142000000,sz.000723,5.2500000000,5.2500000000,5.2300000000,5.2400000000,3187100,16701812.0000,2
2026-02-27,20260227142500000,sz.000723,5.2400000000,5.2500000000,5.2300000000,5.2300000000,2448800,12827507.0000,2
2026-02-27,20260227143000000,sz.000723,5.2300000000,5.2400000000,5.2300000000,5.2300000000,849300,4445418.0000,2
2026-02-27,20260227143500000,sz.000723,5.2300000000,5.2400000000,5.2300000000,5.2400000000,1640500,8587824.0000,2
2026-02-27,20260227144000000,sz.000723,5.2300000000,5.2400000000,5.2300000000,5.2300000000,1923900,10071934.0000,2
2026-02-27,20260227144500000,sz.000723,5.2300000000,5.2400000000,5.2300000000,5.2400000000,2605100,13641615.0000,2
2026-02-27,20260227145000000,sz.000723,5.2400000000,5.2500000000,5.2300000000,5.2500000000,5547100,29074611.0000,2
2026-02-27,20260227145500000,sz.000723,5.2400000000,5.2500000000,5.2300000000,5.2400000000,7555200,39598979.0000,2
2026-02-27,20260227150000000,sz.000723,5.2500000000,5.2500000000,5.2400000000,5.2400000000,3920700,20555307.0000,2
