date,time,code,open,high,low,close,volume,amount,adjustflag
2026-02-27,20260227093500000,sz.300054,46.5100000000,46.7600000000,46.0100000000,46.2900000000,1961500,90658874.9300,2
2026-02-27,20260227094000000,sz.300054,46.3000000000,46.4500000000,46.2200000000,46.2200000000,586300,27176758.0000,2
2026-02-27,20260227094500000,sz.300054,46.2200000000,46.3300000000,46.1600000000,46.1700000000,712200,32933888.0000,2
2026-02-27,20260227095000000,sz.300054,46.1700000000,46.1700000000,45.7000000000,45.7000000000,1430400,65721168.0000,2
2026-02-27,20260227095500000,sz.300054,45.7000000000,45.9500000000,45.7000000000,45.8200000000,1002900,45932380.9900,2
2026-02-27,20260227100000000,sz.300054,45.8200000000,45.9300000000,45.7800000000,45.9100000000,824601,37801667.8400,2
2026-02-27,20260227100500000,sz.300054,45.9100000000,46.1000000000,45.9000000000,46.0000000000,414200,19049194.0000,2
2026-02-27,20260227101000000,sz.300054,46.0000000000,46.1000000000,45.9600000000,46.0300000000,268200,12342986.0000,2
2026-02-27,20260227101500000,sz.300054,46.0200000000,46.0500000000,45.8500000000,45.8600000000,465700,21380744.0000,2
2026-02-27,20260227102000000,sz.300054,45.8600000000,45.9200000000,45.8400000000,45.8400000000,344800,15817408.0000,2
2026-02-27,20260227102500000,sz.300054,45.8500000000,45.9500000000,45.8300000000,45.9000000000,280900,12888402.0000,2
2026-02-27,20260227103000000,sz.300054,45.9000000000,45.9200000000,45.8000000000,45.8100000000,570100,26142181.0000,2
2026-02-27,20260227103500000,sz.300054,45.8100000000,45.8500000000,45.7100000000,45.7100000000,601200,27520886.0000,2
2026-02-27,20260227104000000,sz.300054,45.7200000000,45.7800000000,45.5800000000,45.6200000000,837500,38248606.0000,2
2026-02-27,20260227104500000,sz.300054,45.6100000000,45.6500000000,45.5400000000,45.6000000000,460700,21002129.0000,2
2026-02-27,20260227105000000,sz.300054,45.6300000000,45.7800000000,45.6200000000,45.7200000000,330900,15122590.0000,2
2026-02-27,20260227105500000,sz.300054,45.7100000000,45.7700000000,45.6500000000,45.6800000000,230100,10520788.0000,2
2026-02-27,20260227110000000,sz.300054,45.6700000000,45.7200000000,45.6600000000,45.6600000000,182100,8319418.0000,2
2026-02-27,20260227110500000,sz.300054,45.6600000000,45.8500000000,45.6400000000,45.8500000000,200700,9174684.0000,2
2026-02-27,20260227111000000,sz.300054,45.8500000000,45.9400000000,45.8300000000,45.8400000000,168300,7722450.0000,2
2026-02-27,20260227111500000,sz.300054,45.8400000000,45.8400000000,45.6600000000,45.6600000000,224400,10264834.0000,2
2026-02-27,20260227112000000,sz.300054,45.6600000000,45.7000000000,45.6000000000,45.6200000000,338109,15433927.8900,2
2026-02-27,20260227112500000,sz.300054,45.6100000000,45.6900000000,45.5900000000,45.6000000000,234771,10707982.3100,2
2026-02-27,20260227113000000,sz.300054,45.5900000000,45.5900000000,45.4000000000,45.4000000000,869900,39562127.0000,2
