date,time,code,open,high,low,close,volume,amount,adjustflag
2026-02-27,20260227093500000,sh.600879,25.9400000000,26.2000000000,25.8500000000,25.9800000000,16753300,435377683.0000,2
2026-02-27,20260227094000000,sh.600879,25.9900000000,26.1500000000,25.9000000000,26.1300000000,11467145,298673402.0000,2
2026-02-27,20260227094500000,sh.600879,26.1200000000,26.1900000000,25.9200000000,25.9200000000,9393714,245244469.0000,2
2026-02-27,20260227095000000,sh.600879,25.9100000000,25.9300000000,25.7000000000,25.8300000000,13988132,361242103.0000,2
2026-02-27,20260227095500000,sh.600879,25.8200000000,26.0600000000,25.8200000000,26.0600000000,6890184,178821109.0000,2
2026-02-27,20260227100000000,sh.600879,26.0600000000,26.1000000000,26.0000000000,26.1000000000,6061800,157991921.0000,2
2026-02-27,20260227100500000,sh.600879,26.1000000000,26.1800000000,26.0000000000,26.0100000000,6364579,166181730.0000,2
2026-02-27,20260227101000000,sh.600879,26.0100000000,26.3500000000,26.0000000000,26.2900000000,11915368,312126784.0000,2
2026-02-27,20260227101500000,sh.600879,26.2900000000,26.2900000000,26.1000000000,26.1400000000,5364645,140528319.0000,2
2026-02-27,20260227102000000,sh.600879,26.1400000000,26.2500000000,26.1000000000,26.2300000000,3767470,98632216.0000,2
2026-02-27,20260227102500000,sh.600879,26.2200000000,26.2500000000,26.1000000000,26.2000000000,4628599,121257789.0000,2
2026-02-27,20260227103000000,sh.600879,26.1900000000,26.2900000000,26.1700000000,26.2900000000,4283794,112337340.0000,2
2026-02-27,20260227103500000,sh.600879,26.2900000000,26.3400000000,26.2600000000,26.2900000000,7026066,184802134.0000,2
2026-02-27,20260227104000000,sh.600879,26.2900000000,26.3500000000,26.2200000000,26.2900000000,5422255,142580479.0000,2
2026-02-27,20260227104500000,sh.600879,26.2900000000,26.3000000000,26.1400000000,26.1400000000,4092900,107326991.0000,2
2026-02-27,20260227105000000,sh.600879,26.1400000000,26.1700000000,26.1000000000,26.1500000000,3801100,99322040.0000,2
2026-02-27,20260227105500000,sh.600879,26.1500000000,26.1800000000,26.0500000000,26.0500000000,4673900,121964511.0000,2
2026-02-27,20260227110000000,sh.600879,26.0500000000,26.0900000000,25.9700000000,25.9700000000,4578965,119131937.0000,2
2026-02-27,20260227110500000,sh.600879,25.9800000000,26.0800000000,25.9700000000,26.0200000000,2070557,53900817.0000,2
2026-02-27,20260227111000000,sh.600879,26.0200000000,26.0300000000,25.9700000000,25.9900000000,2684503,69785641.0000,2
2026-02-27,20260227111500000,sh.600879,25.9800000000,25.9800000000,25.9000000000,25.9600000000,3309576,85853291.0000,2
2026-02-27,20260227112000000,sh.600879,25.9500000000,26.0100000000,25.9000000000,25.9100000000,2414425,62665853.0000,2
2026-02-27,20260227112500000,sh.600879,25.9100000000,25.9600000000,25.8800000000,25.8800000000,2846500,73762282.0000,2
2026-02-27,20260227113000000,sh.600879,25.8800000000,25.9100000000,25.8100000000,25.8400000000,3667400,94803782.0000,2
2026-02-27,20260227130500000,sh.600879,25.8500000000,25.8600000000,25.7200000000,25.7700000000,5454100,140624507.0000,2
2026-02-27,20260227131000000,sh.600879,25.7900000000,25.8200000000,25.7600000000,25.7800000000,2561800,66049268.0000,2
2026-02-27,20260227131500000,sh.600879,25.7800000000,25.7900000000,25.7300000000,25.7700000000,2779700,71606025.0000,2
2026-02-27,20260227132000000,sh.600879,25.7800000000,25.8200000000,25.7500000000,25.7500000000,2480400,63950253.0000,2
2026-02-27,20260227132500000,sh.600879,25.7600000000,25.7700000000,25.6400000000,25.7200000000,6673200,171524549.0000,2
2026-02-27,20260227133000000,sh.600879,25.7100000000,25.8400000000,25.7000000000,25.8400000000,2321000,59769062.0000,2
2026-02-27,20260227133500000,sh.600879,25.8300000000,25.8900000000,25.8300000000,25.8500000000,1848870,47826767.0000,2
2026-02-27,20260227134000000,sh.600879,25.8500000000,25.9200000000,25.8500000000,25.8700000000,1691600,43774808.0000,2
2026-02-27,20260227134500000,sh.600879,25.8700000000,25.8800000000,25.7900000000,25.8100000000,1920800,49590469.0000,2
2026-02-27,20260227135000000,sh.600879,25.8200000000,25.8200000000,25.7300000000,25.7900000000,1791200,46153741.0000,2
2026-02-27,20260227135500000,sh.600879,25.7900000000,25.8000000000,25.7600000000,25.7600000000,1254900,32356361.0000,2
2026-02-27,20260227140000000,sh.600879,25.7600000000,25.7700000000,25.7200000000,25.7400000000,1574100,40532669.0000,2
2026-02-27,20260227140500000,sh.600879,25.7400000000,25.7600000000,25.7000000000,25.7100000000,2509600,64552217.0000,2
2026-02-27,20260227141000000,sh.600879,25.7100000000,25.7600000000,25.7000000000,25.7600000000,2174480,55923542.0000,2
2026-02-27,20260227141500000,sh.600879,25.7600000000,25.8500000000,25.7600000000,25.8000000000,1781500,45973401.0000,2
2026-02-27,20260227142000000,sh.600879,25.8000000000,25.8200000000,25.7600000000,25.7900000000,1333500,34389851.0000,2
2026-02-27,20260227142500000,sh.600879,25.7800000000,25.8000000000,25.7700000000,25.7900000000,1258200,32434886.0000,2
2026-02-27,20260227143000000,sh.600879,25.8000000000,25.8000000000,25.7800000000,25.8000000000,1502500,38753572.0000,2
2026-02-27,20260227143500000,sh.600879,25.8000000000,25.8000000000,25.7200000000,25.7400000000,2554677,65792071.0000,2
2026-02-27,20260227144000000,sh.600879,25.7500000000,25.7900000000,25.7500000000,25.7600000000,1601100,41247548.0000,2
2026-02-27,20260227144500000,sh.600879,25.7600000000,25.7900000000,25.7500000000,25.7800000000,2246206,57882955.0000,2
2026-02-27,20260227145000000,sh.600879,25.7800000000,25.7900000000,25.7500000000,25.7600000000,3908323,100696092.0000,2
2026-02-27,20260227145500000,sh.600879,25.7600000000,25.8500000000,25.7500000000,25.7800000000,5464906,140885357.0000,2
2026-02-27,20260227150000000,sh.600879,25.7800000000,25.8100000000,25.7800000000,25.8000000000,4848700,125080448.0000,2
