date,time,code,open,high,low,close,volume,amount,adjustflag
2026-02-27,20260227093500000,sh.600348,9.6900000000,9.7300000000,9.6600000000,9.7300000000,2584250,25028071.0000,2
2026-02-27,20260227094000000,sh.600348,9.7200000000,9.7200000000,9.6200000000,9.6800000000,2108857,20392856.0000,2
2026-02-27,20260227094500000,sh.600348,9.7000000000,9.8100000000,9.7000000000,9.8100000000,2474200,24153255.0000,2
2026-02-27,20260227095000000,sh.600348,9.8100000000,9.8300000000,9.7900000000,9.8300000000,1865400,18317359.0000,2
2026-02-27,20260227095500000,sh.600348,9.8300000000,9.8800000000,9.8100000000,9.8700000000,1936300,19060626.0000,2
2026-02-27,20260227100000000,sh.600348,9.8600000000,9.9200000000,9.8600000000,9.9000000000,2066500,20461825.0000,2
2026-02-27,20260227100500000,sh.600348,9.9100000000,9.9400000000,9.8800000000,9.8800000000,2237085,22188167.0000,2
2026-02-27,20260227101000000,sh.600348,9.8800000000,9.8900000000,9.8400000000,9.8600000000,974300,9609303.0000,2
2026-02-27,20260227101500000,sh.600348,9.8600000000,9.9000000000,9.8500000000,9.8900000000,953400,9418100.0000,2
2026-02-27,20260227102000000,sh.600348,9.9000000000,9.9600000000,9.9000000000,9.9600000000,2815100,27965594.0000,2
2026-02-27,20260227102500000,sh.600348,9.9700000000,9.9800000000,9.9500000000,9.9500000000,1998700,19916627.0000,2
2026-02-27,20260227103000000,sh.600348,9.9500000000,9.9700000000,9.9300000000,9.9500000000,1673750,16660158.0000,2
2026-02-27,20260227103500000,sh.600348,9.9500000000,9.9600000000,9.9100000000,9.9200000000,1134650,11274658.0000,2
2026-02-27,20260227104000000,sh.600348,9.9100000000,9.9300000000,9.8800000000,9.8900000000,1108050,10975715.0000,2
2026-02-27,20260227104500000,sh.600348,9.8900000000,9.9200000000,9.8800000000,9.9200000000,681700,6750117.0000,2
2026-02-27,20260227105000000,sh.600348,9.9200000000,9.9200000000,9.8900000000,9.9000000000,475400,4709605.0000,2
2026-02-27,20260227105500000,sh.600348,9.8900000000,9.9000000000,9.8500000000,9.8600000000,782550,7724397.0000,2
2026-02-27,20260227110000000,sh.600348,9.8500000000,9.8600000000,9.8400000000,9.8500000000,435600,4290122.0000,2
2026-02-27,20260227110500000,sh.600348,9.8500000000,9.8600000000,9.8300000000,9.8300000000,690100,6793232.0000,2
2026-02-27,20260227111000000,sh.600348,9.8300000000,9.8400000000,9.8100000000,9.8200000000,782500,7688988.0000,2
2026-02-27,20260227111500000,sh.600348,9.8100000000,9.8600000000,9.8000000000,9.8400000000,610151,5993122.0000,2
2026-02-27,20260227112000000,sh.600348,9.8400000000,9.8600000000,9.8300000000,9.8300000000,329800,3244885.0000,2
2026-02-27,20260227112500000,sh.600348,9.8300000000,9.8400000000,9.8200000000,9.8300000000,724000,7115804.0000,2
2026-02-27,20260227113000000,sh.600348,9.8300000000,9.8500000000,9.8200000000,9.8400000000,475800,4680688.0000,2
2026-02-27,20260227130500000,sh.600348,9.8500000000,9.8700000000,9.8300000000,9.8700000000,564600,5561720.0000,2
2026-02-27,20260227131000000,sh.600348,9.8800000000,9.9400000000,9.8800000000,9.9000000000,1511650,14985250.0000,2
2026-02-27,20260227131500000,sh.600348,9.9000000000,9.9200000000,9.8900000000,9.9100000000,633400,6273078.0000,2
2026-02-27,20260227132000000,sh.600348,9.9100000000,9.9300000000,9.9100000000,9.9300000000,462950,4592047.0000,2
2026-02-27,20260227132500000,sh.600348,9.9300000000,9.9700000000,9.9200000000,9.9600000000,2091200,20808501.0000,2
