date,time,code,open,high,low,close,volume,amount,adjustflag
2026-02-27,20260227093500000,sh.688099,96.0600000000,96.1800000000,94.4800000000,95.0800000000,929952,88378743.0000,2
2026-02-27,20260227094000000,sh.688099,95.1000000000,95.3800000000,94.9600000000,94.9600000000,531667,50575453.0000,2
2026-02-27,20260227094500000,sh.688099,95.0200000000,95.1900000000,94.8000000000,94.9300000000,486025,46132715.0000,2
2026-02-27,20260227095000000,sh.688099,94.9100000000,94.9100000000,94.4100000000,94.4400000000,515800,48775770.0000,2
2026-02-27,20260227095500000,sh.688099,94.4900000000,95.2800000000,94.3800000000,95.1900000000,323507,30667136.0000,2
2026-02-27,20260227100000000,sh.688099,95.1900000000,95.2500000000,94.7800000000,95.1500000000,204505,19427611.0000,2
2026-02-27,20260227100500000,sh.688099,95.1500000000,95.4000000000,94.9000000000,95.0400000000,168164,15987297.0000,2
2026-02-27,20260227101000000,sh.688099,95.0800000000,95.3800000000,95.0800000000,95.2900000000,144568,13766886.0000,2
2026-02-27,20260227101500000,sh.688099,95.2900000000,95.3500000000,94.9200000000,94.9700000000,118306,11251526.0000,2
2026-02-27,20260227102000000,sh.688099,94.9700000000,95.2500000000,94.9200000000,95.2100000000,171202,16281440.0000,2
2026-02-27,20260227102500000,sh.688099,95.2100000000,95.2800000000,95.0000000000,95.0500000000,151560,14415905.0000,2
2026-02-27,20260227103000000,sh.688099,95.0400000000,95.3600000000,94.9800000000,95.0900000000,118630,11288324.0000,2
2026-02-27,20260227103500000,sh.688099,95.0700000000,95.2200000000,95.0000000000,95.1500000000,65786,6258294.0000,2
2026-02-27,20260227104000000,sh.688099,95.1500000000,95.3500000000,95.1300000000,95.3000000000,127815,12169668.0000,2
2026-02-27,20260227104500000,sh.688099,95.3000000000,95.5000000000,95.1400000000,95.5000000000,109322,10418725.0000,2
2026-02-27,20260227105000000,sh.688099,95.5000000000,95.6100000000,95.3600000000,95.5300000000,125412,11975942.0000,2
2026-02-27,20260227105500000,sh.688099,95.5600000000,95.7700000000,95.4900000000,95.5900000000,99666,9529996.0000,2
2026-02-27,20260227110000000,sh.688099,95.6400000000,95.6400000000,95.2500000000,95.3600000000,76469,7298203.0000,2
2026-02-27,20260227110500000,sh.688099,95.3600000000,95.8300000000,95.3200000000,95.7100000000,179727,17180315.0000,2
2026-02-27,20260227111000000,sh.688099,95.7100000000,95.9700000000,95.6500000000,95.7700000000,179083,17162984.0000,2
2026-02-27,20260227111500000,sh.688099,95.7700000000,95.9600000000,95.6500000000,95.6500000000,88751,8502814.0000,2
2026-02-27,20260227112000000,sh.688099,95.6500000000,95.8000000000,95.5200000000,95.6300000000,64940,6210951.0000,2
2026-02-27,20260227112500000,sh.688099,95.6300000000,95.6300000000,95.4000000000,95.4000000000,66142,6317874.0000,2
2026-02-27,20260227113000000,sh.688099,95.4300000000,95.4300000000,94.9000000000,95.1400000000,159264,15159567.0000,2
2026-02-27,20260227130500000,sh.688099,95.1400000000,95.5000000000,95.0300000000,95.2400000000,115312,10985218.0000,2
2026-02-27,20260227131000000,sh.688099,95.2400000000,95.3600000000,94.9200000000,94.9200000000,130558,12418615.0000,2
2026-02-27,20260227131500000,sh.688099,94.9900000000,95.2800000000,94.9700000000,95.2500000000,105951,10070656.0000,2
2026-02-27,20260227132000000,sh.688099,95.2500000000,95.3800000000,95.2500000000,95.3500000000,57913,5519612.0000,2
2026-02-27,20260227132500000,sh.688099,95.3500000000,95.4000000000,95.2000000000,95.3600000000,108891,10378662.0000,2
2026-02-27,20260227133000000,sh.688099,95.3600000000,95.5500000000,95.3600000000,95.4800000000,88373,8435430.0000,2
2026-02-27,20260227133500000,sh.688099,95.4800000000,95.5900000000,95.3500000000,95.4200000000,175667,16768905.0000,2
2026-02-27,20260227134000000,sh.688099,95.4000000000,95.5900000000,95.2300000000,95.3700000000,99138,9458721.0000,2
2026-02-27,20260227134500000,sh.688099,95.3700000000,95.4100000000,95.2100000000,95.3700000000,59870,5706476.0000,2
