date,time,code,open,high,low,close,volume,amount,adjustflag
2026-02-27,20260227093500000,sh.688506,276.0100000000,276.8700000000,274.6600000000,274.6600000000,30439,8394893.0000,2
2026-02-27,20260227094000000,sh.688506,275.2200000000,275.5500000000,274.3200000000,274.3200000000,16234,4466744.0000,2
2026-02-27,20260227094500000,sh.688506,274.3200000000,276.2600000000,274.0200000000,275.6200000000,18508,5092783.0000,2
2026-02-27,20260227095000000,sh.688506,275.6200000000,276.8500000000,275.5400000000,275.9700000000,28439,7859859.0000,2
2026-02-27,20260227095500000,sh.688506,276.5000000000,277.6000000000,275.6800000000,275.8700000000,37446,10364166.0000,2
2026-02-27,20260227100000000,sh.688506,275.8700000000,276.0000000000,274.7900000000,274.7900000000,26293,7244950.0000,2
2026-02-27,20260227100500000,sh.688506,274.7900000000,275.6600000000,274.5000000000,274.5000000000,15153,4166778.0000,2
2026-02-27,20260227101000000,sh.688506,274.5000000000,275.0200000000,274.2300000000,274.2500000000,9696,2662241.0000,2
2026-02-27,20260227101500000,sh.688506,274.2500000000,274.4200000000,273.2600000000,273.7500000000,19791,5420975.0000,2
2026-02-27,20260227102000000,sh.688506,273.7500000000,274.3300000000,272.0800000000,272.4100000000,36313,9921640.0000,2
2026-02-27,20260227102500000,sh.688506,272.4100000000,272.9100000000,272.0300000000,272.0300000000,14748,4015496.0000,2
2026-02-27,20260227103000000,sh.688506,272.0300000000,272.7600000000,271.0200000000,271.9900000000,28468,7739445.0000,2
2026-02-27,20260227103500000,sh.688506,271.9900000000,272.7300000000,271.5600000000,272.6600000000,28514,7758760.0000,2
2026-02-27,20260227104000000,sh.688506,272.9900000000,273.9800000000,272.9900000000,273.4400000000,9625,2632265.0000,2
2026-02-27,20260227104500000,sh.688506,273.4400000000,273.4600000000,273.0200000000,273.4600000000,4368,1193465.0000,2
2026-02-27,20260227105000000,sh.688506,273.6800000000,273.9900000000,273.5100000000,273.5200000000,6159,1686392.0000,2
2026-02-27,20260227105500000,sh.688506,273.5200000000,273.9800000000,273.1000000000,273.1000000000,6701,1832335.0000,2
2026-02-27,20260227110000000,sh.688506,273.1000000000,273.4900000000,272.6900000000,273.3200000000,6742,1841042.0000,2
2026-02-27,20260227110500000,sh.688506,273.3200000000,273.3200000000,272.3000000000,272.3300000000,5362,1462646.0000,2
2026-02-27,20260227111000000,sh.688506,272.3300000000,273.6700000000,272.2500000000,272.8300000000,13074,3566091.0000,2
2026-02-27,20260227111500000,sh.688506,272.8300000000,273.4700000000,272.8300000000,273.4100000000,9841,2688513.0000,2
2026-02-27,20260227112000000,sh.688506,273.7000000000,273.9000000000,272.9200000000,273.5100000000,7274,1990185.0000,2
2026-02-27,20260227112500000,sh.688506,273.4800000000,273.4800000000,272.8100000000,272.8100000000,5976,1631894.0000,2
2026-02-27,20260227113000000,sh.688506,272.8100000000,273.1500000000,272.5000000000,272.8400000000,8198,2237033.0000,2
2026-02-27,20260227130500000,sh.688506,272.5900000000,272.8400000000,271.3600000000,271.7600000000,30863,8394887.0000,2
