ts_code,ann_date,name,gender,birth_year,edu,nationality,begin_date,end_date,resume
512850.SH,20191120,王晓贞,M,,硕士,中国,20180927,20191119,2008年6月至2016年10月在中航证券有限公司先后从事研究、投资工作；2016年11月加入中信建投基金管理有限公司，担任产品与金融工程部高级经理，从事量化研究工作。2017年3月至2019年4月担任中信建投睿信灵活配置混合型证券投资基金基金经理。2017年5月至2018年3月担任中信建投睿泰灵活配置混合型证券投资基金基金经理。2018年9月至2019年11月担任中信建投中证北京50交易型开放式指数证券投资基金基金经理。
512850.SH,20201210,齐爱军,M,,硕士,中国,20191118,20201210,曾任中信建投证券股份有限公司资产管理部投资主办。2019年2月加入中信建投基金管理有限公司，曾任研究部研究员，现任本公司投资部-多元资产配置部基金经理。2019年11月至2020年12月担任中信建投中证北京50交易型开放式指数证券投资基金基金经理。
