ts_code,freq,trade_date,trade_time,open,high,low,close,volume,amount,adjust_type,source,updated_at
300750.SZ,1d,20180611,2018-06-11 15:00:00,15.72,18.86,15.72,18.86,788.29,2845.471,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180612,2018-06-12 15:00:00,20.75,20.75,20.75,20.75,265.79,1058.375,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180613,2018-06-13 15:00:00,22.82,22.82,22.82,22.82,450.3,1972.314,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180614,2018-06-14 15:00:00,25.1,25.1,25.1,25.1,742.67,3578.184,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180615,2018-06-15 15:00:00,27.61,27.61,27.61,27.61,2565.1,13595.03,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180619,2018-06-19 15:00:00,30.37,30.37,30.37,30.37,11174.28,65146.052,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180620,2018-06-20 15:00:00,33.41,33.41,33.41,33.41,13103.82,84034.797,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180621,2018-06-21 15:00:00,36.75,36.75,36.75,36.75,12316.6,86881.296,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180622,2018-06-22 15:00:00,37.51,37.88,33.08,34.67,1281705.99,8599728.955,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180625,2018-06-25 15:00:00,35.53,37.3,35.02,36.05,699819.99,4868406.844,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180626,2018-06-26 15:00:00,35.37,39.36,34.96,38.65,625535.47,4537098.812,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180627,2018-06-27 15:00:00,38.66,39.04,37.39,38.6,441388.62,3241043.472,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180628,2018-06-28 15:00:00,38.19,39.28,35.14,35.54,530809.81,3770134.24,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180629,2018-06-29 15:00:00,35.78,38.71,35.31,37.49,456985.75,3231958.793,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180702,2018-07-02 15:00:00,36.88,37.24,36.01,36.47,324701.82,2278646.004,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180703,2018-07-03 15:00:00,36.57,37.09,34.31,36.1,339100.64,2337186.967,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180704,2018-07-04 15:00:00,35.51,35.51,34.13,34.34,262821.97,1749919.477,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180705,2018-07-05 15:00:00,33.86,37.45,33.8,35.85,343377.83,2343510.066,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180706,2018-07-06 15:00:00,35.85,38.81,35.79,36.93,492134.27,3511358.606,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180709,2018-07-09 15:00:00,36.89,37.29,36.01,37.28,310689.79,2183986.505,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180710,2018-07-10 15:00:00,39.07,39.54,37.33,37.72,364844.01,2666043.239,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180711,2018-07-11 15:00:00,36.47,41.13,36.25,40.15,491208.05,3695050.773,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180712,2018-07-12 15:00:00,39.61,44.16,39.39,44.16,430852.12,3430182.907,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180713,2018-07-13 15:00:00,42.72,46.09,42.22,43.09,482020.55,4049051.405,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180716,2018-07-16 15:00:00,43.09,44.15,41.73,43.71,295151.96,2439742.028,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180717,2018-07-17 15:00:00,43.3,43.85,41.5,42.87,286153.49,2336837.084,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180718,2018-07-18 15:00:00,42.87,43.96,41.74,42.87,271138.39,2233771.784,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180719,2018-07-19 15:00:00,42.72,44.36,42.03,43.19,250744.83,2089886.953,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180720,2018-07-20 15:00:00,42.98,47.5,42.73,47.37,426956.35,3750334.637,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180723,2018-07-23 15:00:00,46.37,47.17,45.61,46.17,250143.52,2223986.14,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180724,2018-07-24 15:00:00,46.11,48.43,45.59,47.81,265010.25,2395962.685,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180725,2018-07-25 15:00:00,47.41,49.54,43.03,43.03,457193.48,4027958.763,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180726,2018-07-26 15:00:00,41.94,43.03,39.91,40.74,392869.99,3115796.617,qfq,tushare,2026-02-28 19:54:07
300750.SZ,1d,20180727,2018-07-27 15:00:00,40.64,40.97,39.42,39.62,228095.84,1748397.062,qfq,tushare,2026-02-28 19:54:07
