ts_code,freq,trade_date,trade_time,open,high,low,close,volume,amount,adjust_type,source,updated_at
301301.SZ,1d,20221227,2022-12-27 15:00:00,10.87,12.17,9.79,9.96,1328389.38,1378362.424,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20221228,2022-12-28 15:00:00,9.28,9.88,9.04,9.39,811508.35,774100.75,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20221229,2022-12-29 15:00:00,9.08,10.13,9.03,9.87,899378.32,884255.12,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20221230,2022-12-30 15:00:00,9.61,9.67,8.86,8.87,800414.5,742659.556,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230103,2023-01-03 15:00:00,8.87,9.19,8.82,9.02,541232.02,492793.888,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230104,2023-01-04 15:00:00,8.91,8.92,8.66,8.7,519700.6,457989.324,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230105,2023-01-05 15:00:00,8.71,8.71,8.36,8.46,411680.21,352628.504,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230106,2023-01-06 15:00:00,8.47,8.77,8.37,8.66,453679.93,392992.252,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230109,2023-01-09 15:00:00,8.61,8.76,8.55,8.68,310982.59,271996.2,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230110,2023-01-10 15:00:00,8.71,9.25,8.49,9.06,614907.38,554441.044,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230111,2023-01-11 15:00:00,8.99,9.15,8.8,8.81,367877.36,332707.463,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230112,2023-01-12 15:00:00,8.8,9.17,8.79,9.1,419256.99,381910.231,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230113,2023-01-13 15:00:00,9.2,9.2,8.93,9.0,308553.24,281153.1,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230116,2023-01-16 15:00:00,9.0,9.15,8.97,9.0,291139.32,265680.787,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230117,2023-01-17 15:00:00,8.96,9.0,8.68,8.71,326985.65,289500.764,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230118,2023-01-18 15:00:00,8.74,8.75,8.63,8.67,149716.53,131442.843,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230119,2023-01-19 15:00:00,8.64,8.73,8.6,8.65,153869.78,134686.214,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230120,2023-01-20 15:00:00,8.67,8.76,8.63,8.76,179029.37,157168.42,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230130,2023-01-30 15:00:00,9.04,9.29,8.96,9.08,431498.8,395613.096,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230131,2023-01-31 15:00:00,9.07,9.07,8.97,9.04,218038.85,198277.443,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230201,2023-02-01 15:00:00,9.09,9.14,9.01,9.13,229281.0,209498.455,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230202,2023-02-02 15:00:00,9.13,9.44,9.1,9.22,392665.35,367657.378,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230203,2023-02-03 15:00:00,9.21,9.35,9.02,9.11,280384.79,259049.953,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230206,2023-02-06 15:00:00,9.03,9.1,8.95,8.97,192576.59,175000.453,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230207,2023-02-07 15:00:00,9.01,9.07,8.98,9.05,152102.08,138459.392,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230208,2023-02-08 15:00:00,9.03,9.07,8.94,8.95,148466.68,134583.016,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230209,2023-02-09 15:00:00,8.91,9.0,8.81,9.0,165109.12,148635.402,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230210,2023-02-10 15:00:00,8.97,9.05,8.93,8.98,136933.04,124149.607,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230213,2023-02-13 15:00:00,8.98,9.25,8.94,9.19,304729.27,281286.474,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230214,2023-02-14 15:00:00,9.16,9.3,9.1,9.22,215851.29,199778.325,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230215,2023-02-15 15:00:00,9.18,9.33,9.14,9.25,218563.26,203671.092,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230216,2023-02-16 15:00:00,9.26,9.33,8.86,8.96,302645.51,278341.338,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230217,2023-02-17 15:00:00,8.94,10.3,8.94,10.27,927424.16,913687.341,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230220,2023-02-20 15:00:00,10.41,10.56,9.88,10.21,614493.3,627570.915,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230221,2023-02-21 15:00:00,10.17,10.47,9.97,10.31,500846.89,516203.181,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230222,2023-02-22 15:00:00,10.26,10.83,10.08,10.16,649900.94,684119.893,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230223,2023-02-23 15:00:00,9.98,10.15,9.65,9.69,535772.7,532532.81,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230224,2023-02-24 15:00:00,9.72,9.78,9.52,9.57,223226.04,216876.441,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230227,2023-02-27 15:00:00,9.49,9.76,9.47,9.57,215538.25,208851.389,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230228,2023-02-28 15:00:00,9.59,9.87,9.44,9.86,325890.2,319430.269,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230301,2023-03-01 15:00:00,9.76,9.78,9.61,9.71,242791.68,237047.414,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230302,2023-03-02 15:00:00,9.68,9.72,9.51,9.56,190046.43,183884.551,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230303,2023-03-03 15:00:00,9.58,9.68,9.52,9.63,145541.7,141023.153,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230306,2023-03-06 15:00:00,9.65,9.65,9.42,9.42,177168.82,169564.58,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230307,2023-03-07 15:00:00,9.42,9.5,9.11,9.12,197838.26,185185.331,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230308,2023-03-08 15:00:00,9.1,9.27,9.08,9.27,103521.97,95919.952,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230309,2023-03-09 15:00:00,9.24,9.35,9.22,9.3,101769.26,95347.69,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230310,2023-03-10 15:00:00,9.25,9.29,9.1,9.19,99725.23,92472.136,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230313,2023-03-13 15:00:00,9.18,9.53,9.17,9.44,186600.91,177340.951,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230314,2023-03-14 15:00:00,9.42,9.44,9.28,9.44,132212.67,124819.858,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230315,2023-03-15 15:00:00,9.44,9.59,9.44,9.51,138838.86,133204.781,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230316,2023-03-16 15:00:00,9.44,9.45,9.22,9.23,131277.03,123365.454,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230317,2023-03-17 15:00:00,9.24,9.33,9.15,9.21,116780.71,108635.253,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230320,2023-03-20 15:00:00,9.15,9.2,8.98,9.02,120768.79,110285.299,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230321,2023-03-21 15:00:00,9.05,9.18,9.04,9.18,85960.81,79045.617,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230322,2023-03-22 15:00:00,9.18,9.26,9.1,9.12,91191.75,84250.612,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230323,2023-03-23 15:00:00,9.11,9.18,9.05,9.15,78965.7,72680.067,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230324,2023-03-24 15:00:00,9.19,9.37,9.18,9.37,173988.77,163349.056,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230327,2023-03-27 15:00:00,9.32,9.96,9.25,9.75,316611.14,306638.751,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230328,2023-03-28 15:00:00,9.62,9.77,9.46,9.5,200067.99,193630.231,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230329,2023-03-29 15:00:00,9.51,9.62,9.39,9.42,126237.76,120692.279,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230330,2023-03-30 15:00:00,9.37,9.42,9.27,9.4,95211.02,89687.407,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230331,2023-03-31 15:00:00,9.42,9.55,9.37,9.5,120317.71,115001.285,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230403,2023-04-03 15:00:00,9.51,9.55,9.35,9.45,130345.04,124017.208,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230404,2023-04-04 15:00:00,9.44,9.45,9.18,9.19,152877.77,142896.057,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230406,2023-04-06 15:00:00,9.19,9.57,9.16,9.5,207858.69,198291.83,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230407,2023-04-07 15:00:00,9.49,9.66,9.4,9.57,184100.12,177772.831,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230410,2023-04-10 15:00:00,9.54,9.65,9.31,9.36,143994.21,137518.785,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230411,2023-04-11 15:00:00,9.4,9.44,9.22,9.31,96322.25,90391.92,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230412,2023-04-12 15:00:00,9.28,9.37,9.19,9.28,104681.48,97748.964,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230413,2023-04-13 15:00:00,9.31,9.31,9.07,9.14,99252.03,91653.784,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230414,2023-04-14 15:00:00,9.11,9.34,9.11,9.2,94538.4,88137.415,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230417,2023-04-17 15:00:00,9.17,9.21,9.11,9.19,74564.05,68875.805,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230418,2023-04-18 15:00:00,9.16,9.17,9.03,9.05,80858.88,74030.533,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230419,2023-04-19 15:00:00,9.08,9.11,9.03,9.08,55454.46,50710.112,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230420,2023-04-20 15:00:00,9.21,9.22,9.08,9.17,75963.36,70155.827,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230421,2023-04-21 15:00:00,9.12,9.34,8.98,9.15,142651.51,131941.182,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230424,2023-04-24 15:00:00,9.17,9.36,9.08,9.31,134820.01,125891.396,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230425,2023-04-25 15:00:00,9.43,9.47,9.19,9.46,222208.44,209762.157,qfq,tushare,2026-02-28 20:26:04
301301.SZ,1d,20230426,2023-04-26 15:00:00,9.37,9.64,9.34,9.4,196278.09,188157.149,qfq,tushare,2026-02-28 20:26:04
