ts_code,freq,trade_date,trade_time,open,high,low,close,volume,amount,adjust_type,source,updated_at
688220.SH,1d,20220114,2022-01-14 15:00:00,130.0,130.11,105.88,109.0,178090.65,1998047.398,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220117,2022-01-17 15:00:00,106.1,110.5,102.01,105.72,82063.21,874275.473,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220118,2022-01-18 15:00:00,105.96,108.28,103.65,107.0,59296.04,627396.117,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220119,2022-01-19 15:00:00,105.16,107.5,104.0,106.0,34996.34,370170.916,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220120,2022-01-20 15:00:00,105.13,105.65,101.41,101.45,37139.21,383786.421,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220121,2022-01-21 15:00:00,101.0,101.2,97.81,98.54,28245.59,280272.907,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220124,2022-01-24 15:00:00,98.0,101.16,97.2,98.52,18413.61,183594.685,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220125,2022-01-25 15:00:00,98.5,100.0,95.1,95.17,16223.48,157712.248,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220126,2022-01-26 15:00:00,96.04,97.16,91.09,91.91,20271.06,188056.313,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220127,2022-01-27 15:00:00,91.96,92.24,87.0,87.33,22353.92,198545.877,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220128,2022-01-28 15:00:00,88.0,89.91,86.72,88.79,15450.86,136993.486,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220207,2022-02-07 15:00:00,89.9,92.88,89.3,91.45,12516.26,114272.948,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220208,2022-02-08 15:00:00,91.3,91.3,89.84,90.32,7336.54,66169.441,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220209,2022-02-09 15:00:00,91.0,92.94,90.15,92.4,9993.52,91561.968,qfq,tushare,2026-02-28 20:34:52
688220.SH,1d,20220210,2022-02-10 15:00:00,91.99,93.53,91.7,91.96,8372.26,77308.66,qfq,tushare,2026-02-28 20:34:52
