trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20251222,000523.SZ,红棉股份,4.1,9.9196,10.7,1051407742.0,161001229.95,131247490.61,292248720.56,-29753739.34,-2.83,27.8,5433156631.4,连续三个交易日内，涨幅偏离值累计达到20%的证券
20251222,000572.SZ,海马汽车,9.36,9.9882,17.18,2576960115.0,176341772.12,478430589.06,654772361.18,302088816.94,11.72,25.41,15371488707.12,日涨幅偏离值达到7%的前5只证券
20251222,000638.SZ,*ST万方,5.02,5.0209,5.5,96045814.0,27297442.0,11421602.0,38719044.0,-15875840.0,-16.53,40.31,1556930917.02,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20251222,000735.SZ,罗牛山,10.48,9.9685,18.62,2197109596.0,188512739.04,228560662.62,417073401.66,40047923.58,1.82,18.98,12061405978.16,日涨幅偏离值达到7%的前5只证券
20251222,000890.SZ,法尔胜,5.84,0.1715,24.09,2058491249.0,201607282.59,154045554.13,355652836.72,-47561728.46,-2.31,17.28,2449827708.64,连续三个交易日内，跌幅偏离值累计达到20%的证券
20251222,000981.SZ,山子高科,3.65,9.9398,7.13,2436008341.0,187448139.0,875513192.48,1062961331.48,688065053.48,28.25,43.64,34723749739.45,日涨幅偏离值达到7%的前5只证券
20251222,001255.SZ,博菲电气,33.88,-8.6546,13.68,330827113.0,41020391.0,18022364.0,59042755.0,-22998027.0,-6.95,17.85,2407377280.0,日跌幅偏离值达到7%的前5只证券
20251222,001317.SZ,三羊马,58.07,3.2906,48.75,983913193.0,141232416.81,74380037.71,215612454.52,-66852379.1,-6.79,21.91,2033503505.94,日换手率达到20%的前5只证券
20251222,001330.SZ,博纳影业,9.06,-10.0298,3.84,479864129.0,74362681.96,40590099.79,114952781.75,-33772582.17,-7.04,23.96,12453141995.04,日跌幅偏离值达到7%的前5只证券
20251222,001336.SZ,楚环科技,28.95,9.9924,22.58,465254825.0,98675348.09,111546765.5,210222113.59,12871417.41,2.77,45.18,1348582482.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20251222,002046.SZ,国机精工,43.59,9.9924,6.73,4064816934.0,483710480.27,583570659.69,1067281139.96,99860179.42,2.46,26.26,23049817135.08,连续三个交易日内，涨幅偏离值累计达到20%的证券
20251222,002188.SZ,中天服务,6.73,-9.9063,46.4,860740608.0,93328149.29,58997175.0,152325324.29,-34330974.29,-3.99,17.7,1732053037.11,日振幅值达到15%的前5只证券
20251222,002228.SZ,合兴包装,4.92,10.0671,13.03,1640998421.0,132957309.0,185851794.77,318809103.77,52894485.77,3.22,19.43,5949862808.28,连续三个交易日内，涨幅偏离值累计达到20%的证券
20251222,002231.SZ,*ST奥维,1.65,-2.9412,18.97,184345253.0,25068729.8,16156077.0,41224806.8,-8912652.8,-4.83,22.36,507912433.05,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20251222,002238.SZ,天威视讯,8.43,-9.8396,6.84,482976391.0,91617887.33,43397440.58,135015327.91,-48220446.75,-9.98,27.95,6765573718.8,日振幅值达到15%的前5只证券
20251222,002361.SZ,神剑股份,8.99,10.0367,31.53,2224915797.0,162869406.18,191193365.08,354062771.26,28323958.9,1.27,15.91,7274015626.16,日涨幅偏离值达到7%的前5只证券
20251222,002639.SZ,雪人集团,19.43,-4.4739,44.9,5778006553.0,616776255.29,506267588.75,1123043844.04,-110508666.54,-1.91,19.44,12641533115.58,日换手率达到20%的前5只证券
20251222,002666.SZ,德联集团,6.03,10.0365,2.27,186802760.0,31869572.0,58198517.0,90068089.0,26328945.0,14.09,48.22,3019029252.03,连续三个交易日内，涨幅偏离值累计达到20%的证券
20251222,002682.SZ,龙洲股份,8.37,-9.5135,29.89,1439448025.0,110345833.9,114665544.21,225011378.11,4319710.31,0.3,15.63,4706954823.78,日跌幅偏离值达到7%的前5只证券
20251222,002735.SZ,王子新材,17.79,0.0,43.14,2206750883.0,339577890.09,147543731.0,487121621.09,-192034159.09,-8.7,22.07,4989445842.9,日换手率达到20%的前5只证券
20251222,002792.SZ,通宇通讯,35.35,9.9876,44.35,5028065628.0,401958544.21,505403761.61,907362305.82,103445217.4,2.06,18.05,11785214825.3,日换手率达到20%的前5只证券
20251222,002853.SZ,皮阿诺,24.31,8.0444,21.4,650469424.0,70842030.65,77218583.13,148060613.78,6376552.48,0.98,22.76,3128814052.65,日振幅值达到15%的前5只证券
20251222,002853.SZ,皮阿诺,24.31,8.0444,21.4,1528219410.0,201613433.24,151267555.0,352880988.24,-50345878.24,-3.29,23.09,3128814052.65,连续三个交易日内，涨幅偏离值累计达到20%的证券
20251222,123261.SZ,普联转债,157.3,57.3,,48075076.0,10804307.8,48075076.4,58879384.2,37270768.6,77.53,122.47,,上市首日可转债
20251222,300086.SZ,康芝药业,13.22,19.9637,24.75,1352441835.0,78496410.4,330100718.39,408597128.79,251604307.99,18.6,30.21,5825822940.84,日涨幅达到15%的前5只证券
20251222,300086.SZ,康芝药业,13.22,19.9637,24.75,2370473975.0,114298270.4,353750853.79,468049124.19,239452583.39,10.1,19.74,5825822940.84,连续三个交易日内，涨幅偏离值累计达到30%的证券
20251222,300189.SZ,神农种业,7.13,20.0337,45.52,2720008649.0,142554974.99,402591174.92,545146149.91,260036199.93,9.56,20.04,6318891727.62,日换手率达到30%的前5只证券
20251222,300342.SZ,天银机电,29.28,2.4493,31.7,3905941242.0,430658793.21,372598002.78,803256795.99,-58060790.43,-1.49,20.56,12262430708.64,日换手率达到30%的前5只证券
20251222,300344.SZ,*ST立方,1.28,19.6262,15.38,118706670.0,12579770.0,10935470.4,23515240.4,-1644299.6,-1.39,19.81,819192532.48,日涨幅达到15%的前5只证券
20251222,300391.SZ,*ST长药,1.67,20.1439,18.35,100936499.0,9608151.42,9213323.0,18821474.42,-394828.42,-0.39,18.65,585061307.04,日涨幅达到15%的前5只证券
20251222,300640.SZ,德艺文创,9.02,-5.1525,39.16,786839272.0,99431179.61,113570835.88,213002015.49,14139656.27,1.8,27.07,1991157152.6,日换手率达到30%的前5只证券
