trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20250922,000558.SZ,天府文旅,6.18,-9.6491,14.69,1198883540.0,85934669.0,82893486.5,168828155.5,-3041182.5,-0.25,14.08,7964070877.44,日跌幅偏离值达到7%的前5只证券
20250922,000718.SZ,苏宁环球,2.72,-9.9338,9.74,606644566.0,72294939.21,44808169.0,117103108.21,-27486770.21,-4.53,19.3,6207293291.84,日跌幅偏离值达到7%的前5只证券
20250922,000981.SZ,山子高科,4.26,10.0775,17.32,6803976394.0,411378823.46,774870748.8,1186249572.26,363491925.34,5.34,17.43,40526896956.18,日涨幅偏离值达到7%的前5只证券
20250922,001221.SZ,悍高集团,67.41,10.0033,29.79,670789882.0,105170130.05,130191018.78,235361148.83,25020888.73,3.73,35.09,2354270386.86,日换手率达到20%的前5只证券
20250922,001221.SZ,悍高集团,67.41,10.0033,29.79,1298296916.0,139976187.33,249712198.41,389688385.74,109736011.08,8.45,30.02,2354270386.86,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250922,001234.SZ,泰慕士,36.14,-9.9875,22.53,763642263.0,114123863.6,79493831.0,193617694.6,-34630032.6,-4.53,25.35,3307550870.0,日跌幅偏离值达到7%的前5只证券
20250922,001298.SZ,好上好,38.36,4.9521,26.97,1583812527.0,136797478.3,126930684.2,263728162.5,-9866794.1,-0.62,16.65,5910694922.72,日换手率达到20%的前5只证券
20250922,001309.SZ,德明利,155.11,9.9993,5.87,4301291890.0,764765869.3,635946877.1,1400712746.4,-128818992.2,-2.99,32.56,24782707385.06,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250922,002059.SZ,云南旅游,8.09,10.068,15.83,1376348225.0,113313145.0,124083052.95,237396197.95,10769907.95,0.78,17.25,7952842609.22,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250922,002067.SZ,景兴纸业,6.09,-5.4348,37.23,2796823677.0,362203038.34,211030186.63,573233224.97,-151172851.71,-5.41,20.5,7353751094.55,日换手率达到20%的前5只证券
20250922,002097.SZ,山河智能,16.64,5.0505,27.79,4790858114.0,447089015.65,322959920.73,770048936.38,-124129094.92,-2.59,16.07,17849713672.96,日换手率达到20%的前5只证券
20250922,002272.SZ,川润股份,18.47,-1.2299,29.55,2112963593.0,226253825.32,184140573.67,410394398.99,-42113251.65,-1.99,19.42,7138522902.56,日换手率达到20%的前5只证券
20250922,002317.SZ,众生药业,18.52,-6.2753,12.79,1842742134.0,452958553.52,288902618.45,741861171.97,-164055935.07,-8.9,40.26,14105154359.12,日振幅值达到15%的前5只证券
