ts_code,name,trade_date,phase,accumulation_score,score_level,spring,sos,minute_entry_ready,minute_reason,status,industry
300346.SZ,南大光电,20260227,E,26.06,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok,半导体
688122.SH,西部超导,20260227,E,25.46,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok,小金属
