trade_date,close,market_score,regime,ma20,ma60,atr,grid_lower,grid_upper,target_pos,risk_scale,position,turnover,cost,strategy_ret,benchmark_ret,nav,benchmark_nav,excess_nav
20070702,963.324,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
20070703,989.211,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02687257869626425,1.0,1.0268725786962642,0.9738306589797323
20070704,963.25,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.026244148114001997,1.0,0.9999231826467523,1.000076823254607
20070705,934.695,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.029644432909421203,1.0,0.9702810269442057,1.0306292426941408
20070706,1002.051,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07206200953252129,1.0,1.0402014275570837,0.9613522665014056
20070709,1027.491,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02538792935688905,1.0,1.066609987916838,0.9375498179546098
20070710,1080.597,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.051685124249263525,1.0,1.1217378576678252,0.8914738797164901
20070711,1066.685,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.01287436481870674,1.0,1.107296195257255,0.9031007279562383
20070712,1058.141,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.008009862330491058,1.0,1.098426905174168,0.9103928493461645
20070713,1065.283,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00674957307201951,1.0,1.1058408178349133,0.9042892827539725
20070716,1009.862,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.05202467325583904,1.0,1.048309810614082,0.9539164757164841
20070717,1039.503,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.029351535160249576,1.0,1.0790793128791558,0.9267159402137368
20070718,1040.119,,Range,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0005925908823736226,1.0,1.079718765441326,0.9261671020335174
20070719,1049.935,,Range,,,47.00642857142855,,,0.0,0.0,0.0,0.0,0.0,0.0,0.009437381684211266,1.0,1.0899084835424013,0.9175082266997479
20070720,1100.161,,Range,,,46.31871428571424,,,0.0,0.0,0.0,0.0,0.0,0.0,0.04783724706767578,1.0,1.142046704950775,0.8756209318454297
20070723,1174.713,,Range,,,48.76578571428566,,,0.0,0.0,0.0,0.0,0.0,0.0,0.06776462717729492,1.0,1.2194370741308225,0.8200505144660863
20070724,1175.813,,Range,,,46.847999999999956,,,0.0,0.0,0.0,0.0,0.0,0.0,0.000936398933186311,1.0,1.2205789537061265,0.8192833384220106
20070725,1205.133,,Range,,,46.83028571428566,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02493593794251292,1.0,1.2510152347496797,0.7993507770511633
20070726,1263.772,,Range,,,47.7271428571428,,,0.0,0.0,0.0,0.0,0.0,0.0,0.04865770002149139,1.0,1.3118867587644452,0.7622609141522361
20070727,1233.397,,Range,1072.1568,,47.53342857142851,1024.6233714285715,1119.6902285714284,0.0,0.0,0.0,0.0,0.0,-0.0,-0.024035189891847608,1.0,1.2803553114009412,0.781033195313431
20070730,1238.404,,Range,1085.9108,,43.16385714285708,1042.746942857143,1129.0746571428572,0.0,0.27944088772758247,0.0,0.0,0.0,0.0,0.004059520170715647,1.0,1.2855529396132561,0.77787539445932
20070731,1240.825,,Range,1098.4915,,42.510428571428506,1055.9810714285716,1141.0019285714286,0.0,0.280039538757919,0.0,0.0,0.0,0.0,0.001954935546073955,1.0,1.288066112751266,0.7763576652630303
20070801,1203.25,,Range,1110.4915,,45.62485714285707,1064.866642857143,1156.1163571428572,0.0,0.2779669675973368,0.0,0.0,0.0,-0.0,-0.030282271875566646,1.0,1.249060544531228,0.8006017037190937
20070802,1232.285,,Range,1125.371,,46.440142857142796,1078.9308571428573,1171.8111428571428,0.0,0.28941315660190364,0.0,0.0,0.0,0.0,0.024130479950135175,1.0,1.2792009749575437,0.7817379908056978
20070803,1350.173,,Range,1142.7771,,50.81671428571422,1091.9603857142858,1193.5938142857142,0.0,0.2686554722355726,0.0,0.0,0.0,0.0,0.09566618111881575,1.0,1.4015772471151977,0.713481901948861
20070806,1367.667,,Range,1159.7859,,50.48107142857136,1109.3048285714287,1210.2669714285714,0.0,0.2692094992941266,0.0,0.0,0.0,0.0,0.012956858121144332,1.0,1.4197372846518934,0.7043556655238443
20070807,1389.11,,Range,1175.21155,,51.39921428571423,1123.8123357142858,1226.6107642857141,0.0,0.2777160465215795,0.0,0.0,0.0,0.0,0.015678524085175782,1.0,1.4419966698639302,0.6934828775258975
20070808,1372.131,,Range,1190.48385,,52.84257142857138,1137.6412785714288,1243.3264214285714,0.0,0.2779279927694644,0.0,0.0,0.0,-0.0,-0.01222293410888975,1.0,1.4243712395829449,0.702064161512275
20070809,1460.474,,Range,1210.6005,,55.3372857142857,1155.2632142857144,1265.9377857142856,0.0,0.26659496247876047,0.0,0.0,0.0,0.0,0.06438379425871132,1.0,1.516077664420279,0.6595968158282856
20070810,1449.326,,Range,1229.80265,,53.0315,1176.77115,1282.8341500000001,0.0,0.2639195349807386,0.0,0.0,0.0,-0.0,-0.007633138282502783,1.0,1.504505233960745,0.6646703364184452
20070813,1427.449,,Range,1250.682,,59.22500000000001,1191.457,1309.907,0.0,0.28683866564370425,0.0,0.0,0.0,-0.0,-0.015094602594585282,1.0,1.481795325352634,0.6748570351725347
20070814,1546.583,,Range,1276.0359999999998,,66.51450000000001,1209.5214999999998,1342.5504999999998,0.0,0.2624255658530661,0.0,0.0,0.0,0.0,0.08345937403017545,1.0,1.605465035647405,0.6228724872832557
