ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688563.SH,20230721,69.85,69.85,59.57,59.9,,,,464280.31,2867851.323
688563.SH,20230728,59.59,61.24,58.83,59.83,59.9,-0.07000000000000028,-0.11686143572621083,258960.66,1555225.382
688563.SH,20230804,59.96,60.17,58.76,58.85,59.83,-0.9799999999999969,-1.637974260404474,127747.48999999999,760424.88
688563.SH,20230811,58.58,59.22,57.38,58.49,58.85,-0.35999999999999943,-0.6117247238742556,128140.08,747484.851
688563.SH,20230818,58.47,60.93,57.09,59.5,58.49,1.009999999999998,1.7267909044281038,143625.18,850990.5630000001
688563.SH,20230825,59.07,61.93,57.87,59.05,59.5,-0.45000000000000284,-0.7563025210084081,190169.69,1144181.683
688563.SH,20230901,62.15,64.83,60.18,61.45,59.05,2.4000000000000057,4.064352243861145,183610.36,1150237.7829999998
688563.SH,20230908,61.82,65.54,60.53,65.18,61.45,3.730000000000004,6.069975589910503,127305.14,805896.388
688563.SH,20230915,65.18,65.65,61.76,64.36,65.18,-0.8200000000000074,-1.258054617980987,104820.44,667216.645
688563.SH,20230922,64.09,65.71,62.12,63.6,64.36,-0.759999999999998,-1.180857675574888,54831.31,352592.011
688563.SH,20230928,63.15,63.59,61.08,61.73,63.6,-1.8700000000000045,-2.940251572327051,39078.54,242549.02599999998
688563.SH,20231013,61.37,62.66,59.87,60.45,61.73,-1.279999999999994,-2.0735460878017076,45898.79,281166.562
688563.SH,20231020,60.36,61.46,59.19,60.28,60.45,-0.1700000000000017,-0.28122415219189695,43770.18,264864.49399999995
688563.SH,20231027,60.01,61.71,59.33,61.45,60.28,1.1700000000000017,1.9409422694094254,33620.68,204418.571
688563.SH,20231103,61.25,63.1,60.7,61.47,61.45,0.01999999999999602,0.032546786004875546,37052.75,230220.861
688563.SH,20231110,61.45,62.75,61.12,61.53,61.47,0.060000000000002274,0.09760858955588461,31806.48,196995.492
688563.SH,20231117,61.28,65.37,61.22,63.3,61.53,1.769999999999996,2.876645538761573,64914.26,412915.578
688563.SH,20231124,63.03,64.88,62.32,63.12,63.3,-0.17999999999999972,-0.28436018957345927,53439.02,340162.874
688563.SH,20231201,63.12,63.2,60.62,61.09,63.12,-2.029999999999994,-3.2160963244613345,43069.51,265749.532
