ts_code,trade_date,trade_dt,close,volume,range_low_120,range_high_120,trading_range_flag,trend_slope_60,volume_trend_20,weekly_trend_26,phase,spring,sos,accumulation_score,future_return_5d,future_return_10d,future_return_20d,spring_success_10d,meta_score,score_bucket
600030.SH,20030106,2003-01-06,0.75,1942885.56,,,0,,,,B,0,0,,0.2666666666666666,0.3733333333333333,0.4000000000000001,0,-0.050288092907700324,4
600030.SH,20030107,2003-01-07,0.73,589777.17,,,0,,,,B,0,0,,0.3561643835616439,0.3561643835616439,0.4246575342465755,0,-0.050288092907700324,4
600030.SH,20030108,2003-01-08,0.8,720640.78,,,0,,,,B,0,0,,0.2874999999999998,0.2249999999999998,0.3125,0,-0.050288092907700324,4
600030.SH,20030109,2003-01-09,0.88,1100868.68,,,0,,,,B,0,0,,0.1704545454545454,0.1136363636363635,0.1590909090909091,0,-0.050288092907700324,4
600030.SH,20030110,2003-01-10,0.94,2063934.22,,,0,,,,B,0,0,,0.0531914893617022,0.1170212765957448,0.1063829787234043,0,-0.050288092907700324,4
600030.SH,20030113,2003-01-13,0.95,1091783.02,,,0,,,,B,0,0,,0.0842105263157895,0.1052631578947369,0.0947368421052632,0,-0.050288092907700324,4
600030.SH,20030114,2003-01-14,0.99,1494812.83,,,0,,,,B,0,0,,0.0,0.0707070707070707,0.0505050505050506,0,-0.050288092907700324,4
600030.SH,20030115,2003-01-15,1.03,1381749.75,,,0,,,,B,0,0,,-0.0485436893203884,0.0097087378640776,-0.0194174757281553,0,-0.050288092907700324,4
600030.SH,20030116,2003-01-16,1.03,654831.54,,,0,,,,B,0,0,,-0.0485436893203884,-0.0097087378640776,-0.0194174757281553,0,-0.050288092907700324,4
600030.SH,20030117,2003-01-17,0.99,653587.62,,,0,,,,B,0,0,,0.0606060606060605,0.0404040404040404,0.0505050505050506,0,-0.050288092907700324,4
600030.SH,20030120,2003-01-20,1.03,691818.45,,,0,,,,B,0,0,,0.0194174757281553,0.0194174757281553,0.0097087378640776,0,-0.050288092907700324,4
600030.SH,20030121,2003-01-21,0.99,428631.13,,,0,,,,B,0,0,,0.0707070707070707,0.0505050505050506,0.0505050505050506,0,-0.050288092907700324,4
600030.SH,20030122,2003-01-22,0.98,320352.52,,,0,,,,B,0,0,,0.0612244897959184,0.0714285714285714,0.0612244897959184,0,-0.050288092907700324,4
600030.SH,20030123,2003-01-23,0.98,315385.63,,,0,,,,B,0,0,,0.0408163265306122,0.0408163265306122,0.0714285714285714,0,-0.050288092907700324,4
600030.SH,20030124,2003-01-24,1.05,927070.75,,,0,,,,B,0,0,,-0.019047619047619,-0.0095238095238094,0.0095238095238094,0,-0.050288092907700324,4
600030.SH,20030127,2003-01-27,1.05,394738.54,,,0,,,,B,0,0,,0.0,-0.0095238095238094,-0.0095238095238094,0,-0.050288092907700324,4
600030.SH,20030128,2003-01-28,1.06,259664.21,,,0,,,,B,0,0,,-0.0188679245283018,-0.0188679245283018,-0.0283018867924528,0,-0.050288092907700324,4
600030.SH,20030129,2003-01-29,1.04,296210.35,,,0,,,,B,0,0,,0.0096153846153845,-0.0288461538461538,-0.0192307692307692,0,-0.050288092907700324,4
600030.SH,20030210,2003-02-10,1.02,218760.77,,,0,,,,B,0,0,,0.0,-0.0098039215686274,-0.0098039215686274,0,-0.050288092907700324,4
600030.SH,20030211,2003-02-11,1.03,104957.13,,,0,,,,B,0,0,,0.0097087378640776,0.0097087378640776,-0.0194174757281553,0,-0.050288092907700324,4
600030.SH,20030212,2003-02-12,1.05,201379.79,,,0,,,,B,0,0,,-0.0095238095238094,-0.0095238095238094,-0.0571428571428571,0,-0.050288092907700324,4
600030.SH,20030213,2003-02-13,1.04,398721.66,,,0,,,,B,0,0,,0.0,0.0,-0.0576923076923077,0,-0.050288092907700324,4
600030.SH,20030214,2003-02-14,1.05,159964.84,,,0,,,,B,0,0,,-0.0380952380952381,-0.0095238095238094,-0.0666666666666667,0,-0.050288092907700324,4
600030.SH,20030217,2003-02-17,1.02,204101.6,,,0,,,,B,0,0,,-0.0098039215686274,0.0294117647058824,-0.0294117647058823,0,-0.050288092907700324,4
600030.SH,20030218,2003-02-18,1.04,110183.98,,,0,,,,B,0,0,,0.0,0.0192307692307691,-0.0480769230769231,0,-0.050288092907700324,4
600030.SH,20030219,2003-02-19,1.04,195915.74,,,0,,,,B,0,0,,0.0,0.0,-0.0480769230769231,0,-0.050288092907700324,4
600030.SH,20030220,2003-02-20,1.04,135890.81,,,0,,,,B,0,0,,0.0,-0.0096153846153845,-0.0480769230769231,0,-0.050288092907700324,4
600030.SH,20030221,2003-02-21,1.01,251954.97,,,0,,,,B,0,0,,0.0297029702970297,0.0099009900990099,-0.0198019801980198,0,-0.050288092907700324,4
600030.SH,20030224,2003-02-24,1.01,101463.33,,,0,,,,B,0,0,,0.0396039603960396,0.0,-0.0198019801980198,0,-0.050288092907700324,4
600030.SH,20030225,2003-02-25,1.04,166711.29,,,0,,-0.7484419706523369,,B,0,0,29.96,0.0192307692307691,-0.0288461538461538,-0.0961538461538462,0,-0.45858718310094676,0
600030.SH,20030226,2003-02-26,1.04,131322.47,,,0,,-0.7636285464219131,,B,0,0,30.68,0.0,-0.0480769230769231,-0.0961538461538462,0,-0.474052286017948,0
600030.SH,20030227,2003-02-27,1.04,126053.05,,,0,,-0.7649312009611621,,B,0,0,30.99,-0.0096153846153845,-0.0576923076923077,-0.0384615384615385,0,-0.4792620145559922,0
600030.SH,20030228,2003-02-28,1.04,76059.45,,,0,,-0.7636412180644928,,B,0,0,31.2,-0.0192307692307692,-0.0576923076923077,-0.0384615384615385,0,-0.4821900529626938,0
600030.SH,20030303,2003-03-03,1.05,121379.12,,,0,,-0.7615241507120306,,B,0,0,31.36,-0.0380952380952381,-0.0571428571428571,-0.0380952380952381,0,-0.4841070882154527,0
600030.SH,20030304,2003-03-04,1.06,312728.94,,,0,,-0.7930105234514977,,B,0,0,32.43,-0.0471698113207547,-0.0660377358490567,-0.0094339622641509,0,-0.509557494469721,0
600030.SH,20030305,2003-03-05,1.04,147517.04,,,0,,-0.7984986805734168,,B,0,0,32.76,-0.0480769230769231,-0.0480769230769231,0.0288461538461539,0,-0.5162382504867217,0
600030.SH,20030306,2003-03-06,1.03,139657.2,,,0,,-0.7963886975889705,,B,0,0,32.85,-0.0485436893203884,-0.0388349514563106,0.0291262135922329,0,-0.517062249441008,0
600030.SH,20030307,2003-03-07,1.02,76617.84,,,0,,-0.8014705466956838,,B,0,0,33.13,-0.0392156862745098,-0.0294117647058823,0.0686274509803921,0,-0.5228484354417574,0
600030.SH,20030310,2003-03-10,1.01,121458.86,,,0,,-0.7993351697597815,,B,0,0,33.2,-0.0198019801980198,-0.0198019801980198,0.0891089108910891,0,-0.5233525514545356,0
600030.SH,20030311,2003-03-11,1.01,46836.82,0.72,1.08,0,,-0.7939034077686693,,B,0,0,33.16,-0.0198019801980198,-0.0693069306930693,0.0990099009900991,0,-0.5212238150957713,0
600030.SH,20030312,2003-03-12,0.99,125321.11,0.72,1.08,0,,-0.7735698126281321,,B,0,0,33.2,0.0,-0.0505050505050505,0.2323232323232322,0,-0.5162230140441506,0
600030.SH,20030313,2003-03-13,0.98,66903.27,0.72,1.08,0,,-0.7946018659464846,,B,0,0,33.79,0.0102040816326529,0.0204081632653061,0.2346938775510203,0,-0.531272055144559,0
600030.SH,20030314,2003-03-14,0.98,53128.21,0.72,1.08,0,,-0.7939692175285149,,B,0,0,33.9,0.0102040816326529,0.0204081632653061,0.2448979591836735,0,-0.5328177038344075,0
600030.SH,20030317,2003-03-17,0.99,68784.35,0.72,1.08,0,,-0.7899370422631514,,B,0,0,34.09,0.0,0.0202020202020201,0.3131313131313131,0,-0.5346740934361122,0
600030.SH,20030318,2003-03-18,0.99,81619.09,0.72,1.08,0,,-0.7528959567943294,,B,0,0,34.05,-0.0505050505050505,0.0606060606060605,0.3232323232323233,0,-0.5237987345058148,0
600030.SH,20030319,2003-03-19,0.99,106823.4,0.72,1.08,0,,-0.7388428013698393,,B,0,0,34.17,-0.0505050505050505,0.0808080808080808,0.303030303030303,0,-0.5217872199570426,0
600030.SH,20030320,2003-03-20,0.99,71693.75,0.72,1.08,0,,-0.7027491571520218,,B,0,0,34.22,0.0101010101010101,0.0707070707070707,0.292929292929293,0,-0.5125818804865765,0
600030.SH,20030321,2003-03-21,0.99,52101.89,0.72,1.08,0,,-0.6831106571355444,,B,0,0,34.6,0.0101010101010101,0.101010101010101,0.2525252525252526,0,-0.5130919743427416,0
600030.SH,20030324,2003-03-24,0.99,60241.89,0.72,1.08,0,,-0.6620558412976001,,B,0,0,34.61,0.0202020202020201,0.1111111111111111,0.202020202020202,0,-0.507422319895947,0
600030.SH,20030325,2003-03-25,0.94,226220.42,0.72,1.08,0,,-0.6239778659973425,,B,0,0,34.41,0.1170212765957448,0.1808510638297873,0.2659574468085106,0,-0.4937571935548051,0
600030.SH,20030326,2003-03-26,0.94,123286.23,0.72,1.08,0,,-0.5858963093554419,,B,0,0,33.23,0.1382978723404255,0.2978723404255319,0.2340425531914893,0,-0.464761123603677,0
600030.SH,20030327,2003-03-27,1.0,412638.29,0.72,1.08,0,,-0.5038608452352814,,B,0,0,25.45,0.06,0.2099999999999999,0.1499999999999999,0,-0.32036002060919677,1
600030.SH,20030328,2003-03-28,1.0,321905.0,0.72,1.08,0,,-0.4270162705142756,,B,0,0,19.91,0.09,0.2199999999999999,0.1399999999999999,0,-0.21243518141017187,2
600030.SH,20030331,2003-03-31,1.01,112862.82,0.72,1.08,0,,-0.4046166660612842,,B,0,0,16.97,0.0891089108910891,0.2871287128712871,0.2376237623762376,0,-0.16024712428538007,3
600030.SH,20030401,2003-04-01,1.05,326293.5,0.72,1.08,0,,-0.3090224259087967,,B,0,0,12.85,0.0571428571428571,0.2476190476190476,0.1619047619047617,0,-0.06934684969185306,4
