ts_code,trade_date,trade_dt,close,volume,range_low_120,range_high_120,trading_range_flag,trend_slope_60,volume_trend_20,weekly_trend_26,phase,spring,sos,accumulation_score,future_return_5d,future_return_10d,future_return_20d,spring_success_10d
600030.SH,20030106,2003-01-06,0.75,1942885.56,,,0,,,,B,0,0,,0.2666666666666666,0.3733333333333333,0.40000000000000013,0
600030.SH,20030107,2003-01-07,0.73,589777.17,,,0,,,,B,0,0,,0.3561643835616439,0.3561643835616439,0.4246575342465755,0
600030.SH,20030108,2003-01-08,0.8,720640.78,,,0,,,,B,0,0,,0.28749999999999987,0.22499999999999987,0.3125,0
600030.SH,20030109,2003-01-09,0.88,1100868.68,,,0,,,,B,0,0,,0.17045454545454541,0.11363636363636354,0.15909090909090917,0
600030.SH,20030110,2003-01-10,0.94,2063934.22,,,0,,,,B,0,0,,0.05319148936170226,0.1170212765957448,0.1063829787234043,0
600030.SH,20030113,2003-01-13,0.95,1091783.02,,,0,,,,B,0,0,,0.08421052631578951,0.10526315789473695,0.09473684210526323,0
600030.SH,20030114,2003-01-14,0.99,1494812.83,,,0,,,,B,0,0,,0.0,0.07070707070707072,0.05050505050505061,0
600030.SH,20030115,2003-01-15,1.03,1381749.75,,,0,,,,B,0,0,,-0.04854368932038844,0.009708737864077666,-0.01941747572815533,0
600030.SH,20030116,2003-01-16,1.03,654831.54,,,0,,,,B,0,0,,-0.04854368932038844,-0.009708737864077666,-0.01941747572815533,0
600030.SH,20030117,2003-01-17,0.99,653587.62,,,0,,,,B,0,0,,0.06060606060606055,0.04040404040404044,0.05050505050505061,0
600030.SH,20030120,2003-01-20,1.03,691818.45,,,0,,,,B,0,0,,0.01941747572815533,0.01941747572815533,0.009708737864077666,0
600030.SH,20030121,2003-01-21,0.99,428631.13,,,0,,,,B,0,0,,0.07070707070707072,0.05050505050505061,0.05050505050505061,0
600030.SH,20030122,2003-01-22,0.98,320352.52,,,0,,,,B,0,0,,0.061224489795918435,0.0714285714285714,0.061224489795918435,0
600030.SH,20030123,2003-01-23,0.98,315385.63,,,0,,,,B,0,0,,0.04081632653061229,0.04081632653061229,0.0714285714285714,0
600030.SH,20030124,2003-01-24,1.05,927070.75,,,0,,,,B,0,0,,-0.01904761904761909,-0.00952380952380949,0.00952380952380949,0
600030.SH,20030127,2003-01-27,1.05,394738.54,,,0,,,,B,0,0,,0.0,-0.00952380952380949,-0.00952380952380949,0
600030.SH,20030128,2003-01-28,1.06,259664.21,,,0,,,,B,0,0,,-0.018867924528301883,-0.018867924528301883,-0.028301886792452824,0
600030.SH,20030129,2003-01-29,1.04,296210.35,,,0,,,,B,0,0,,0.009615384615384581,-0.028846153846153855,-0.019230769230769273,0
600030.SH,20030210,2003-02-10,1.02,218760.77,,,0,,,,B,0,0,,0.0,-0.009803921568627416,-0.009803921568627416,0
600030.SH,20030211,2003-02-11,1.03,104957.13,,,0,,,,B,0,0,,0.009708737864077666,0.009708737864077666,-0.01941747572815533,0
600030.SH,20030212,2003-02-12,1.05,201379.79,,,0,,,,B,0,0,,-0.00952380952380949,-0.00952380952380949,-0.05714285714285716,0
600030.SH,20030213,2003-02-13,1.04,398721.66,,,0,,,,B,0,0,,0.0,0.0,-0.05769230769230771,0
600030.SH,20030214,2003-02-14,1.05,159964.84,,,0,,,,B,0,0,,-0.03809523809523818,-0.00952380952380949,-0.06666666666666676,0
600030.SH,20030217,2003-02-17,1.02,204101.6,,,0,,,,B,0,0,,-0.009803921568627416,0.02941176470588247,-0.02941176470588236,0
600030.SH,20030218,2003-02-18,1.04,110183.98,,,0,,,,B,0,0,,0.0,0.019230769230769162,-0.04807692307692313,0
600030.SH,20030219,2003-02-19,1.04,195915.74,,,0,,,,B,0,0,,0.0,0.0,-0.04807692307692313,0
600030.SH,20030220,2003-02-20,1.04,135890.81,,,0,,,,B,0,0,,0.0,-0.009615384615384581,-0.04807692307692313,0
600030.SH,20030221,2003-02-21,1.01,251954.97,,,0,,,,B,0,0,,0.02970297029702973,0.00990099009900991,-0.01980198019801982,0
600030.SH,20030224,2003-02-24,1.01,101463.33,,,0,,,,B,0,0,,0.03960396039603964,0.0,-0.01980198019801982,0
600030.SH,20030225,2003-02-25,1.04,166711.29,,,0,,-0.7484419706523369,,B,0,0,29.96,0.019230769230769162,-0.028846153846153855,-0.09615384615384626,0
600030.SH,20030226,2003-02-26,1.04,131322.47,,,0,,-0.7636285464219131,,B,0,0,30.68,0.0,-0.04807692307692313,-0.09615384615384626,0
600030.SH,20030227,2003-02-27,1.04,126053.05,,,0,,-0.7649312009611621,,B,0,0,30.99,-0.009615384615384581,-0.05769230769230771,-0.03846153846153855,0
600030.SH,20030228,2003-02-28,1.04,76059.45,,,0,,-0.7636412180644928,,B,0,0,31.2,-0.019230769230769273,-0.05769230769230771,-0.03846153846153855,0
600030.SH,20030303,2003-03-03,1.05,121379.12,,,0,,-0.7615241507120306,,B,0,0,31.36,-0.03809523809523818,-0.05714285714285716,-0.03809523809523818,0
600030.SH,20030304,2003-03-04,1.06,312728.94,,,0,,-0.7930105234514977,,B,0,0,32.43,-0.047169811320754707,-0.0660377358490567,-0.009433962264150941,0
600030.SH,20030305,2003-03-05,1.04,147517.04,,,0,,-0.7984986805734168,,B,0,0,32.76,-0.04807692307692313,-0.04807692307692313,0.028846153846153966,0
600030.SH,20030306,2003-03-06,1.03,139657.2,,,0,,-0.7963886975889705,,B,0,0,32.85,-0.04854368932038844,-0.03883495145631066,0.029126213592232997,0
600030.SH,20030307,2003-03-07,1.02,76617.84,,,0,,-0.8014705466956838,,B,0,0,33.13,-0.03921568627450989,-0.02941176470588236,0.06862745098039214,0
600030.SH,20030310,2003-03-10,1.01,121458.86,,,0,,-0.7993351697597815,,B,0,0,33.2,-0.01980198019801982,-0.01980198019801982,0.08910891089108919,0
600030.SH,20030311,2003-03-11,1.01,46836.82,0.72,1.08,0,,-0.7939034077686693,,B,0,0,33.16,-0.01980198019801982,-0.06930693069306937,0.0990099009900991,0
600030.SH,20030312,2003-03-12,0.99,125321.11,0.72,1.08,0,,-0.7735698126281321,,B,0,0,33.2,0.0,-0.0505050505050505,0.23232323232323226,0
600030.SH,20030313,2003-03-13,0.98,66903.27,0.72,1.08,0,,-0.7946018659464846,,B,0,0,33.79,0.010204081632652962,0.020408163265306145,0.23469387755102034,0
600030.SH,20030314,2003-03-14,0.98,53128.21,0.72,1.08,0,,-0.7939692175285149,,B,0,0,33.9,0.010204081632652962,0.020408163265306145,0.24489795918367352,0
600030.SH,20030317,2003-03-17,0.99,68784.35,0.72,1.08,0,,-0.7899370422631514,,B,0,0,34.09,0.0,0.02020202020202011,0.31313131313131315,0
600030.SH,20030318,2003-03-18,0.99,81619.09,0.72,1.08,0,,-0.7528959567943294,,B,0,0,34.05,-0.0505050505050505,0.06060606060606055,0.3232323232323233,0
