ts_code,trade_date,trade_dt,close,volume,range_low_120,range_high_120,trading_range_flag,trend_slope_60,volume_trend_20,weekly_trend_26,phase,spring,sos,accumulation_score,future_return_5d,future_return_10d,future_return_20d,spring_success_10d
300759.SZ,20190128,2019-01-28,4.73,472.7,,,0,,,,B,0,0,,0.6088794926004228,1.5919661733615218,2.8498942917547567,0
300759.SZ,20190129,2019-01-29,5.2,319.44,,,0,,,,B,0,0,,0.6096153846153844,1.5942307692307693,2.4615384615384612,0
300759.SZ,20190130,2019-01-30,5.72,521.31,,,0,,,,B,0,0,,0.6101398601398604,1.5944055944055946,2.174825174825175,0
300759.SZ,20190131,2019-01-31,6.29,1448.64,,,0,,,,B,0,0,,0.6104928457869636,1.5484896661367253,2.012718600953895,0
300759.SZ,20190201,2019-02-01,6.92,2164.35,,,0,,,,B,0,0,,0.6098265895953758,1.310693641618497,1.4653179190751442,0
300759.SZ,20190211,2019-02-11,7.61,1293.82,,,0,,,,B,0,0,,0.6110381077529565,1.2260183968462548,1.2917214191852824,0
300759.SZ,20190212,2019-02-12,8.37,1756.69,,,0,,,,B,0,0,,0.6117084826762247,0.94026284348865,1.1111111111111116,0
300759.SZ,20190213,2019-02-13,9.21,9680.04,,,0,,,,B,0,0,,0.6112920738327903,0.9402823018458197,0.8436482084690553,0
300759.SZ,20190214,2019-02-14,10.13,4975.34,,,0,,,,B,0,0,,0.5824284304047385,0.6426456071076012,0.577492596248766,0
300759.SZ,20190215,2019-02-15,11.14,4162.89,,,0,,,,B,0,0,,0.43536804308797117,0.5834829443447038,0.5780969479353677,0
300759.SZ,20190218,2019-02-18,12.26,3868.12,,,0,,,,B,0,0,,0.3817292006525286,0.4853181076672106,0.4967373572593803,0
300759.SZ,20190219,2019-02-19,13.49,6078.35,,,0,,,,B,0,0,,0.20385470719051146,0.33432171979243885,0.42698295033358047,0
300759.SZ,20190220,2019-02-20,14.84,4206.32,,,0,,,,B,0,0,,0.20417789757412397,0.22371967654986524,0.22776280323450138,0
300759.SZ,20190221,2019-02-21,16.03,494038.89,,,0,,,,B,0,0,,0.03805364940736111,0.1821584529008109,0.11603243917654393,0
300759.SZ,20190222,2019-02-22,15.99,289379.78,,,0,,,,B,0,0,,0.1031894934333959,0.06691682301438395,0.11319574734208881,0
300759.SZ,20190225,2019-02-25,16.94,416280.62,,,0,,,,B,0,0,,0.07497048406139317,0.029515938606847758,0.01416765053128688,0
300759.SZ,20190226,2019-02-26,16.24,337231.25,,,0,,,,B,0,0,,0.10837438423645329,0.08805418719211833,0.07081280788177358,0
300759.SZ,20190227,2019-02-27,17.87,272493.06,,,0,,,,B,0,0,,0.016228315612758726,-0.04980414101846675,-0.03469501958589816,0
300759.SZ,20190228,2019-02-28,16.64,267740.46,,,0,,,,B,0,0,,0.1388221153846152,-0.039663461538461564,-0.013221153846153744,0
300759.SZ,20190301,2019-03-01,17.64,280501.95,,,0,,,,B,0,0,,-0.03287981859410438,-0.003401360544217802,0.0243764172335601,0
300759.SZ,20190304,2019-03-04,18.21,293862.56,,,0,,,,B,0,0,,-0.04228445908841294,0.007688083470620555,0.011532125205930832,0
300759.SZ,20190305,2019-03-05,18.0,198922.06,,,0,,,,B,0,0,,-0.0183333333333332,0.06944444444444442,0.02444444444444449,0
300759.SZ,20190306,2019-03-06,18.16,245699.29,,,0,,,,B,0,0,,-0.06497797356828194,0.0033039647577091102,0.002753303964757814,0
300759.SZ,20190307,2019-03-07,18.95,286629.89,,,0,,,,B,0,0,,-0.15672823218997356,-0.055936675461741414,0.0015831134564643357,0
300759.SZ,20190308,2019-03-08,17.06,230429.21,,,0,,,,B,0,0,,0.030480656506447712,0.04337631887456039,0.024618991793669442,0
