score_bucket,sample_count,avg_return,win_rate,spring_success_rate
0,551,0.0144727550082132,0.5517241379310345,0.0
1,551,0.022529724352848085,0.6533575317604355,0.0
2,551,0.009165768964914396,0.5063520871143375,0.0
3,551,0.005489501760996326,0.5353901996370236,0.0
4,551,0.0010963862334393598,0.47549909255898365,0.0
5,550,0.0020444306622950286,0.47454545454545455,0.0
6,551,0.007767706154845158,0.4900181488203267,0.0
7,551,0.004554526622600073,0.4482758620689655,0.0
8,551,0.00172020991244131,0.4319419237749546,0.0
9,551,0.03385344382651621,0.49909255898366606,0.003629764065335753
